,Date,Inflation Measure,Value
262,2007-01-01,Overall Inflation,-0.5102706
263,2007-01-01,Services Inflation,-0.4837647
264,2007-02-01,Overall Inflation,-0.5253245
265,2007-02-01,Services Inflation,-0.4940586
266,2007-03-01,Overall Inflation,-0.4129122
267,2007-03-01,Services Inflation,-0.4561053
268,2007-04-01,Overall Inflation,-0.3832486
269,2007-04-01,Services Inflation,-0.4405007
270,2007-05-01,Overall Inflation,-0.3514554
271,2007-05-01,Services Inflation,-0.4223597
272,2007-06-01,Overall Inflation,-0.331003
273,2007-06-01,Services Inflation,-0.4078685
274,2007-07-01,Overall Inflation,-0.391019
275,2007-07-01,Services Inflation,-0.4012102
276,2007-08-01,Overall Inflation,-0.3720594
277,2007-08-01,Services Inflation,-0.3827957
278,2007-09-01,Overall Inflation,-0.33447
279,2007-09-01,Services Inflation,-0.3776267
280,2007-10-01,Overall Inflation,-0.3191575
281,2007-10-01,Services Inflation,-0.3503789
282,2007-11-01,Overall Inflation,-0.2952658
283,2007-11-01,Services Inflation,-0.349596
284,2007-12-01,Overall Inflation,-0.2746965
285,2007-12-01,Services Inflation,-0.3274184
286,2008-01-01,Overall Inflation,-0.3224069
287,2008-01-01,Services Inflation,-0.3085814
288,2008-02-01,Overall Inflation,-0.2983096
289,2008-02-01,Services Inflation,-0.2717025
290,2008-03-01,Overall Inflation,-0.2652866
291,2008-03-01,Services Inflation,-0.2245615
292,2008-04-01,Overall Inflation,-0.2306556
293,2008-04-01,Services Inflation,-0.2639733
294,2008-05-01,Overall Inflation,-0.1847999
295,2008-05-01,Services Inflation,-0.2556087
296,2008-06-01,Overall Inflation,-0.1502045
297,2008-06-01,Services Inflation,-0.2353092
298,2008-07-01,Overall Inflation,-0.1985072
299,2008-07-01,Services Inflation,-0.2211273
300,2008-08-01,Overall Inflation,-0.1670106
301,2008-08-01,Services Inflation,-0.2086319
302,2008-09-01,Overall Inflation,-0.1563179
303,2008-09-01,Services Inflation,-0.1824789
304,2008-10-01,Overall Inflation,-0.1376312
305,2008-10-01,Services Inflation,-0.1487139
306,2008-11-01,Overall Inflation,-0.1062731
307,2008-11-01,Services Inflation,-0.1511356
308,2008-12-01,Overall Inflation,-0.1453432
309,2008-12-01,Services Inflation,-0.1493578
310,2009-01-01,Overall Inflation,-0.1740534
311,2009-01-01,Services Inflation,-0.1629735
312,2009-02-01,Overall Inflation,-0.1146483
313,2009-02-01,Services Inflation,-0.1290806
314,2009-03-01,Overall Inflation,-0.0840191
315,2009-03-01,Services Inflation,-0.1403649
316,2009-04-01,Overall Inflation,-0.0683606
317,2009-04-01,Services Inflation,-0.1224381
318,2009-05-01,Overall Inflation,-0.0299263
319,2009-05-01,Services Inflation,-0.1137526
320,2009-06-01,Overall Inflation,-0.0314085
321,2009-06-01,Services Inflation,-0.1148668
322,2009-07-01,Overall Inflation,-0.070001
323,2009-07-01,Services Inflation,-0.1099402
324,2009-08-01,Overall Inflation,-0.0567829
325,2009-08-01,Services Inflation,-0.1140999
326,2009-09-01,Overall Inflation,-0.0472798
327,2009-09-01,Services Inflation,-0.1068882
328,2009-10-01,Overall Inflation,-0.0304063
329,2009-10-01,Services Inflation,-0.0945057
330,2009-11-01,Overall Inflation,-0.0203486
331,2009-11-01,Services Inflation,-0.0881155
332,2009-12-01,Overall Inflation,-0.0046352
333,2009-12-01,Services Inflation,-0.0717597
334,2010-01-01,Overall Inflation,-0.069565
335,2010-01-01,Services Inflation,-0.0399771
336,2010-02-01,Overall Inflation,0.0102619
337,2010-02-01,Services Inflation,-0.03864
338,2010-03-01,Overall Inflation,0.0496682
339,2010-03-01,Services Inflation,-0.0362074
340,2010-04-01,Overall Inflation,0.0690472
341,2010-04-01,Services Inflation,-0.0348723
342,2010-05-01,Overall Inflation,0.0923908
343,2010-05-01,Services Inflation,-0.0168515
344,2010-06-01,Overall Inflation,0.0920449
345,2010-06-01,Services Inflation,-0.00296
346,2010-07-01,Overall Inflation,0.0735463
347,2010-07-01,Services Inflation,-0.0201464
348,2010-08-01,Overall Inflation,0.1259354
349,2010-08-01,Services Inflation,-0.0008861
350,2010-09-01,Overall Inflation,0.0921575
