,Date,Region,level_2,Value
0,2007-01-01,2.0,Overall Inflation,-0.6027618
1,2007-01-01,2.0,Services Inflation,-0.2438078
2,2007-02-01,2.0,Overall Inflation,-0.7176412
3,2007-02-01,2.0,Services Inflation,-0.3824533
4,2007-03-01,2.0,Overall Inflation,-0.50073
5,2007-03-01,2.0,Services Inflation,-0.2049662
6,2007-04-01,2.0,Overall Inflation,-0.4417687
7,2007-04-01,2.0,Services Inflation,-0.2456101
8,2007-05-01,2.0,Overall Inflation,-0.396196
9,2007-05-01,2.0,Services Inflation,-0.2035479
10,2007-06-01,2.0,Overall Inflation,-0.3522469
11,2007-06-01,2.0,Services Inflation,-0.155836
12,2007-07-01,2.0,Overall Inflation,-0.3862425
13,2007-07-01,2.0,Services Inflation,-0.1554172
14,2007-08-01,2.0,Overall Inflation,-0.3700393
15,2007-08-01,2.0,Services Inflation,-0.0614488
16,2007-09-01,2.0,Overall Inflation,-0.3263703
17,2007-09-01,2.0,Services Inflation,-0.1140934
18,2007-10-01,2.0,Overall Inflation,-0.2825002
19,2007-10-01,2.0,Services Inflation,-0.0665897
20,2007-11-01,2.0,Overall Inflation,-0.2400796
21,2007-11-01,2.0,Services Inflation,-0.0142884
22,2007-12-01,2.0,Overall Inflation,-0.2322834
23,2007-12-01,2.0,Services Inflation,0.0167984
24,2008-01-01,2.0,Overall Inflation,-0.3162803
25,2008-01-01,2.0,Services Inflation,0.035684
26,2008-02-01,2.0,Overall Inflation,-0.1167132
27,2008-02-01,2.0,Services Inflation,0.1637342
28,2008-03-01,2.0,Overall Inflation,-0.0917096
29,2008-03-01,2.0,Services Inflation,0.2734505
30,2008-04-01,2.0,Overall Inflation,-0.0966676
31,2008-04-01,2.0,Services Inflation,0.1946627
32,2008-05-01,2.0,Overall Inflation,-0.026352
33,2008-05-01,2.0,Services Inflation,0.2201978
34,2008-06-01,2.0,Overall Inflation,0.0080959
35,2008-06-01,2.0,Services Inflation,0.2598265
36,2008-07-01,2.0,Overall Inflation,0.0052943
37,2008-07-01,2.0,Services Inflation,0.2967686
38,2008-08-01,2.0,Overall Inflation,0.0243623
39,2008-08-01,2.0,Services Inflation,0.2559168
40,2008-09-01,2.0,Overall Inflation,0.0060077
41,2008-09-01,2.0,Services Inflation,0.3064478
42,2008-10-01,2.0,Overall Inflation,0.0721905
43,2008-10-01,2.0,Services Inflation,0.361386
44,2008-11-01,2.0,Overall Inflation,0.1259777
45,2008-11-01,2.0,Services Inflation,0.3495258
46,2008-12-01,2.0,Overall Inflation,0.0974643
47,2008-12-01,2.0,Services Inflation,0.3729948
48,2009-01-01,2.0,Overall Inflation,0.0221092
49,2009-01-01,2.0,Services Inflation,0.3826789
50,2009-02-01,2.0,Overall Inflation,0.0891158
51,2009-02-01,2.0,Services Inflation,0.323643
52,2009-03-01,2.0,Overall Inflation,0.0960844
53,2009-03-01,2.0,Services Inflation,0.3989132
54,2009-04-01,2.0,Overall Inflation,0.1040365
55,2009-04-01,2.0,Services Inflation,0.3719313
56,2009-05-01,2.0,Overall Inflation,0.1038738
57,2009-05-01,2.0,Services Inflation,0.3722868
58,2009-06-01,2.0,Overall Inflation,0.1180262
59,2009-06-01,2.0,Services Inflation,0.4057595
60,2009-07-01,2.0,Overall Inflation,0.0911011
61,2009-07-01,2.0,Services Inflation,0.3963965
62,2009-08-01,2.0,Overall Inflation,0.0777709
63,2009-08-01,2.0,Services Inflation,0.3842948
64,2009-09-01,2.0,Overall Inflation,0.0988254
65,2009-09-01,2.0,Services Inflation,0.4381709
66,2009-10-01,2.0,Overall Inflation,0.1192994
67,2009-10-01,2.0,Services Inflation,0.4750194
68,2009-11-01,2.0,Overall Inflation,0.1378098
69,2009-11-01,2.0,Services Inflation,0.4894436
70,2009-12-01,2.0,Overall Inflation,0.1421304
71,2009-12-01,2.0,Services Inflation,0.4767995
72,2010-01-01,2.0,Overall Inflation,0.0207018
73,2010-01-01,2.0,Services Inflation,0.6189227
74,2010-02-01,2.0,Overall Inflation,0.1553261
75,2010-02-01,2.0,Services Inflation,0.5981213
76,2010-03-01,2.0,Overall Inflation,0.178595
77,2010-03-01,2.0,Services Inflation,0.6047886
78,2010-04-01,2.0,Overall Inflation,0.1941223
79,2010-04-01,2.0,Services Inflation,0.5964271
80,2010-05-01,2.0,Overall Inflation,0.2534756
81,2010-05-01,2.0,Services Inflation,0.5721918
82,2010-06-01,2.0,Overall Inflation,0.2386722
83,2010-06-01,2.0,Services Inflation,0.5854659
84,2010-07-01,2.0,Overall Inflation,0.4055189
85,2010-07-01,2.0,Services Inflation,0.5889474
86,2010-08-01,2.0,Overall Inflation,0.4200844
87,2010-08-01,2.0,Services Inflation,0.5938187
88,2010-09-01,2.0,Overall Inflation,0.3895258
89,2010-09-01,2.0,Services Inflation,0.5854905
90,2010-10-01,2.0,Overall Inflation,0.4782893
91,2010-10-01,2.0,Services Inflation,0.6525601
92,2010-11-01,2.0,Overall Inflation,0.5243902
93,2010-11-01,2.0,Services Inflation,0.6158083
94,2010-12-01,2.0,Overall Inflation,0.5039911
95,2010-12-01,2.0,Services Inflation,0.6458411
96,2011-01-01,2.0,Overall Inflation,0.2382996
97,2011-01-01,2.0,Services Inflation,0.6867664
98,2011-02-01,2.0,Overall Inflation,0.3886765
99,2011-02-01,2.0,Services Inflation,0.6969688
100,2011-03-01,2.0,Overall Inflation,0.4241504
101,2011-03-01,2.0,Services Inflation,0.6964673
102,2011-04-01,2.0,Overall Inflation,0.4238875
103,2011-04-01,2.0,Services Inflation,0.6894747
104,2011-05-01,2.0,Overall Inflation,0.4687742
105,2011-05-01,2.0,Services Inflation,0.6945119
106,2011-06-01,2.0,Overall Inflation,0.4639058
107,2011-06-01,2.0,Services Inflation,0.7323133
108,2011-07-01,2.0,Overall Inflation,0.4836803
109,2011-07-01,2.0,Services Inflation,0.7195975
