,Date,Inflation Measure,Value
0,1996-02-01,Overall Inflation,-1.262232
1,1996-02-01,Services Inflation,-0.8081201
2,1996-03-01,Overall Inflation,-1.187046
3,1996-03-01,Services Inflation,-0.8057737
4,1996-04-01,Overall Inflation,-1.144192
5,1996-04-01,Services Inflation,-0.7993653
6,1996-05-01,Overall Inflation,-1.095622
7,1996-05-01,Services Inflation,-0.8426874
8,1996-06-01,Overall Inflation,-1.075284
9,1996-06-01,Services Inflation,-0.8454181
10,1996-07-01,Overall Inflation,-1.133035
11,1996-07-01,Services Inflation,-0.8366222
12,1996-08-01,Overall Inflation,-1.073297
13,1996-08-01,Services Inflation,-0.8279043
14,1996-09-01,Overall Inflation,-1.002618
15,1996-09-01,Services Inflation,-0.7972946
16,1996-10-01,Overall Inflation,-0.9820318
17,1996-10-01,Services Inflation,-0.7630525
18,1996-11-01,Overall Inflation,-0.9550352
19,1996-11-01,Services Inflation,-0.7533956
20,1996-12-01,Overall Inflation,-0.9116188
21,1996-12-01,Services Inflation,-0.7494642
22,1997-01-01,Overall Inflation,-0.9568688
23,1997-01-01,Services Inflation,-0.7402281
24,1997-02-01,Overall Inflation,-0.9535255
25,1997-02-01,Services Inflation,-0.7349871
26,1997-03-01,Overall Inflation,-0.9250474
27,1997-03-01,Services Inflation,-0.7279564
28,1997-04-01,Overall Inflation,-0.9232432
29,1997-04-01,Services Inflation,-0.7355847
30,1997-05-01,Overall Inflation,-0.8784451
31,1997-05-01,Services Inflation,-0.7578153
32,1997-06-01,Overall Inflation,-0.855159
33,1997-06-01,Services Inflation,-0.7498272
34,1997-07-01,Overall Inflation,-0.8852499
35,1997-07-01,Services Inflation,-0.7410606
36,1997-08-01,Overall Inflation,-0.8411874
37,1997-08-01,Services Inflation,-0.7417345
38,1997-09-01,Overall Inflation,-0.7968366
39,1997-09-01,Services Inflation,-0.7381883
40,1997-10-01,Overall Inflation,-0.8085793
41,1997-10-01,Services Inflation,-0.6811263
42,1997-11-01,Overall Inflation,-0.7942976
43,1997-11-01,Services Inflation,-0.6787631
44,1997-12-01,Overall Inflation,-0.7896992
45,1997-12-01,Services Inflation,-0.6829112
46,1998-01-01,Overall Inflation,-0.848184
47,1998-01-01,Services Inflation,-0.6800919
48,1998-02-01,Overall Inflation,-0.7938156
49,1998-02-01,Services Inflation,-0.8512394
50,1998-03-01,Overall Inflation,-0.7512645
51,1998-03-01,Services Inflation,-0.8425555
52,1998-04-01,Overall Inflation,-0.7150446
53,1998-04-01,Services Inflation,-0.8368645
54,1998-05-01,Overall Inflation,-0.6625161
55,1998-05-01,Services Inflation,-0.8373356
56,1998-06-01,Overall Inflation,-0.6753625
57,1998-06-01,Services Inflation,-0.8351946
58,1998-07-01,Overall Inflation,-0.7067201
59,1998-07-01,Services Inflation,-0.829101
60,1998-08-01,Overall Inflation,-0.6699069
61,1998-08-01,Services Inflation,-0.8241832
62,1998-09-01,Overall Inflation,-0.6238938
63,1998-09-01,Services Inflation,-0.818094
64,1998-10-01,Overall Inflation,-0.6315288
65,1998-10-01,Services Inflation,-0.7998219
66,1998-11-01,Overall Inflation,-0.6149018
67,1998-11-01,Services Inflation,-0.7920805
68,1998-12-01,Overall Inflation,-0.5933893
69,1998-12-01,Services Inflation,-0.7970642
70,1999-01-01,Overall Inflation,-0.6482974
71,1999-01-01,Services Inflation,-0.750739
72,1999-02-01,Overall Inflation,-0.637627
73,1999-02-01,Services Inflation,-0.7780719
74,1999-03-01,Overall Inflation,-0.5536417
75,1999-03-01,Services Inflation,-0.7758263
76,1999-04-01,Overall Inflation,-0.5323695
77,1999-04-01,Services Inflation,-0.7659847
78,1999-05-01,Overall Inflation,-0.4908217
79,1999-05-01,Services Inflation,-0.7688676
80,1999-06-01,Overall Inflation,-0.4848286
81,1999-06-01,Services Inflation,-0.7570803
82,1999-07-01,Overall Inflation,-0.540824
83,1999-07-01,Services Inflation,-0.7512923
84,1999-08-01,Overall Inflation,-0.5017628
85,1999-08-01,Services Inflation,-0.7450821
86,1999-09-01,Overall Inflation,-0.4629471
87,1999-09-01,Services Inflation,-0.733997
88,1999-10-01,Overall Inflation,-0.4696108
89,1999-10-01,Services Inflation,-0.7149169
90,1999-11-01,Overall Inflation,-0.4440323
91,1999-11-01,Services Inflation,-0.7079262
92,1999-12-01,Overall Inflation,-0.4237981
93,1999-12-01,Services Inflation,-0.7031202
94,2000-01-01,Overall Inflation,-0.4532645
95,2000-01-01,Services Inflation,-0.6902515
96,2000-02-01,Overall Inflation,-0.4632791
97,2000-02-01,Services Inflation,-0.7625743
98,2000-03-01,Overall Inflation,-0.4507028
99,2000-03-01,Services Inflation,-0.7565899
100,2000-04-01,Overall Inflation,-0.4220609
101,2000-04-01,Services Inflation,-0.7470918
102,2000-05-01,Overall Inflation,-0.3891286
103,2000-05-01,Services Inflation,-0.7570382
104,2000-06-01,Overall Inflation,-0.325047
105,2000-06-01,Services Inflation,-0.7566221
106,2000-07-01,Overall Inflation,-0.423904
107,2000-07-01,Services Inflation,-0.7611737
108,2000-08-01,Overall Inflation,-0.4024852
109,2000-08-01,Services Inflation,-0.7406932
110,2000-09-01,Overall Inflation,-0.3608225
111,2000-09-01,Services Inflation,-0.7312803
112,2000-10-01,Overall Inflation,-0.3742762
113,2000-10-01,Services Inflation,-0.714912
114,2000-11-01,Overall Inflation,-0.3272778
115,2000-11-01,Services Inflation,-0.7079276
116,2000-12-01,Overall Inflation,-0.3253685
117,2000-12-01,Services Inflation,-0.7038047
118,2001-01-01,Overall Inflation,-0.3968636
119,2001-01-01,Services Inflation,-0.6838719
120,2001-02-01,Overall Inflation,-0.3753037
121,2001-02-01,Services Inflation,-0.6821592
122,2001-03-01,Overall Inflation,-0.3470363
123,2001-03-01,Services Inflation,-0.6596158
124,2001-04-01,Overall Inflation,-0.3335136
125,2001-04-01,Services Inflation,-0.6648182
126,2001-05-01,Overall Inflation,-0.2653583
127,2001-05-01,Services Inflation,-0.4913553
128,2001-06-01,Overall Inflation,-0.2554819
129,2001-06-01,Services Inflation,-0.661377
130,2001-07-01,Overall Inflation,-0.3419656
131,2001-07-01,Services Inflation,-0.6507123
132,2001-08-01,Overall Inflation,-0.3086074
133,2001-08-01,Services Inflation,-0.4929255
134,2001-09-01,Overall Inflation,-0.2700838
135,2001-09-01,Services Inflation,-0.4726417
136,2001-10-01,Overall Inflation,-0.2728628
137,2001-10-01,Services Inflation,-0.4534408
138,2001-11-01,Overall Inflation,-0.2775327
139,2001-11-01,Services Inflation,-0.6033033
140,2001-12-01,Overall Inflation,-0.2675743
141,2001-12-01,Services Inflation,-0.6046157
142,2002-01-01,Overall Inflation,-0.288851
143,2002-01-01,Services Inflation,-0.6230448
144,2002-02-01,Overall Inflation,-0.3660926
145,2002-02-01,Services Inflation,-0.632072
146,2002-03-01,Overall Inflation,-0.3318542
147,2002-03-01,Services Inflation,-0.6325884
148,2002-04-01,Overall Inflation,-0.3276691
149,2002-04-01,Services Inflation,-0.6156937
150,2002-05-01,Overall Inflation,-0.2970535
