,Date,Inflation Measure,Value
0,2007-01-01,Aggregate Inflation,100.0
1,2007-01-01,EU Migrant-Influenced Inflation,99.99997
2,2007-02-01,Aggregate Inflation,97.69077
3,2007-02-01,EU Migrant-Influenced Inflation,98.86692
4,2007-03-01,Aggregate Inflation,101.3281
5,2007-03-01,EU Migrant-Influenced Inflation,100.5818
6,2007-04-01,Aggregate Inflation,102.4767
7,2007-04-01,EU Migrant-Influenced Inflation,101.195
8,2007-05-01,Aggregate Inflation,103.2429
9,2007-05-01,EU Migrant-Influenced Inflation,101.6789
10,2007-06-01,Aggregate Inflation,103.5638
11,2007-06-01,EU Migrant-Influenced Inflation,101.8657
12,2007-07-01,Aggregate Inflation,102.0305
13,2007-07-01,EU Migrant-Influenced Inflation,102.0805
14,2007-08-01,Aggregate Inflation,102.8342
15,2007-08-01,EU Migrant-Influenced Inflation,102.835
16,2007-09-01,Aggregate Inflation,104.2642
17,2007-09-01,EU Migrant-Influenced Inflation,103.037
18,2007-10-01,Aggregate Inflation,104.8297
19,2007-10-01,EU Migrant-Influenced Inflation,104.0551
20,2007-11-01,Aggregate Inflation,105.9361
21,2007-11-01,EU Migrant-Influenced Inflation,104.2829
22,2007-12-01,Aggregate Inflation,107.4724
23,2007-12-01,EU Migrant-Influenced Inflation,105.003
24,2008-01-01,Aggregate Inflation,105.4537
25,2008-01-01,EU Migrant-Influenced Inflation,105.701
26,2008-02-01,Aggregate Inflation,107.712
27,2008-02-01,EU Migrant-Influenced Inflation,106.4603
28,2008-03-01,Aggregate Inflation,108.7953
29,2008-03-01,EU Migrant-Influenced Inflation,108.526
30,2008-04-01,Aggregate Inflation,109.3299
31,2008-04-01,EU Migrant-Influenced Inflation,108.2694
32,2008-05-01,Aggregate Inflation,110.5833
33,2008-05-01,EU Migrant-Influenced Inflation,108.3721
34,2008-06-01,Aggregate Inflation,111.4449
35,2008-06-01,EU Migrant-Influenced Inflation,109.072
36,2008-07-01,Aggregate Inflation,109.9695
37,2008-07-01,EU Migrant-Influenced Inflation,109.4647
38,2008-08-01,Aggregate Inflation,110.7346
39,2008-08-01,EU Migrant-Influenced Inflation,109.8022
40,2008-09-01,Aggregate Inflation,111.4141
41,2008-09-01,EU Migrant-Influenced Inflation,111.0926
42,2008-10-01,Aggregate Inflation,112.0914
43,2008-10-01,EU Migrant-Influenced Inflation,112.5752
44,2008-11-01,Aggregate Inflation,113.3887
45,2008-11-01,EU Migrant-Influenced Inflation,112.4544
46,2008-12-01,Aggregate Inflation,112.5343
47,2008-12-01,EU Migrant-Influenced Inflation,112.5359
48,2009-01-01,Aggregate Inflation,111.3167
49,2009-01-01,EU Migrant-Influenced Inflation,112.0624
50,2009-02-01,Aggregate Inflation,114.3407
51,2009-02-01,EU Migrant-Influenced Inflation,112.0324
52,2009-03-01,Aggregate Inflation,114.8704
53,2009-03-01,EU Migrant-Influenced Inflation,112.4284
54,2009-04-01,Aggregate Inflation,115.6806
55,2009-04-01,EU Migrant-Influenced Inflation,112.9158
56,2009-05-01,Aggregate Inflation,116.7116
57,2009-05-01,EU Migrant-Influenced Inflation,113.1438
58,2009-06-01,Aggregate Inflation,116.4492
59,2009-06-01,EU Migrant-Influenced Inflation,113.1483
60,2009-07-01,Aggregate Inflation,114.55
61,2009-07-01,EU Migrant-Influenced Inflation,113.1151
62,2009-08-01,Aggregate Inflation,114.7332
63,2009-08-01,EU Migrant-Influenced Inflation,113.3733
64,2009-09-01,Aggregate Inflation,115.56
65,2009-09-01,EU Migrant-Influenced Inflation,113.919
66,2009-10-01,Aggregate Inflation,116.0648
67,2009-10-01,EU Migrant-Influenced Inflation,114.474
68,2009-11-01,Aggregate Inflation,116.6676
69,2009-11-01,EU Migrant-Influenced Inflation,114.9212
70,2009-12-01,Aggregate Inflation,117.3145
71,2009-12-01,EU Migrant-Influenced Inflation,114.9814
72,2010-01-01,Aggregate Inflation,115.395
73,2010-01-01,EU Migrant-Influenced Inflation,115.5234
74,2010-02-01,Aggregate Inflation,117.6584
75,2010-02-01,EU Migrant-Influenced Inflation,116.1195
76,2010-03-01,Aggregate Inflation,119.2041
77,2010-03-01,EU Migrant-Influenced Inflation,116.37
78,2010-04-01,Aggregate Inflation,119.5706
79,2010-04-01,EU Migrant-Influenced Inflation,116.6772
80,2010-05-01,Aggregate Inflation,120.0388
81,2010-05-01,EU Migrant-Influenced Inflation,117.0402
82,2010-06-01,Aggregate Inflation,119.921
83,2010-06-01,EU Migrant-Influenced Inflation,116.9664
84,2010-07-01,Aggregate Inflation,118.3976
