dateStata,inflation,value,,,,,,,,,,,,,,
01/02/1988,service inflation,-1.392663,,,,,,,,,,,,,,
01/03/1988,service inflation,-1.393053,,,,,,,,,,,,,,
01/04/1988,service inflation,-1.381616,,,,,,,,,,,,,,
01/05/1988,service inflation,-1.376178,,,,,,,,,,,,,,
01/06/1988,service inflation,-1.363024,,,,,,,,,,,,,,
01/07/1988,service inflation,-1.358402,,,,,,,,,,,,,,
01/09/1988,service inflation,-1.362157,,,,,,,,,,,,,,
01/10/1988,service inflation,-1.345191,,,,,,,,,,,,,,
01/11/1988,service inflation,-1.344959,,,,,,,,,,,,,,
01/12/1988,service inflation,-1.336875,,,,,,,,,,,,,,
01/01/1989,service inflation,-1.324865,,,,,,,,,,,,,,
01/03/1989,service inflation,-1.318253,,,,,,,,,,,,,,
01/05/1989,service inflation,-1.313145,,,,,,,,,,,,,,
01/06/1989,service inflation,-1.316848,,,,,,,,,,,,,,
01/07/1989,service inflation,-1.310772,,,,,,,,,,,,,,
01/08/1989,service inflation,-1.310613,,,,,,,,,,,,,,
01/09/1989,service inflation,-1.293929,,,,,,,,,,,,,,
01/10/1989,service inflation,-1.287319,,,,,,,,,,,,,,
01/11/1989,service inflation,-1.261087,,,,,,,,,,,,,,
01/12/1989,service inflation,-1.265294,,,,,,,,,,,,,,
01/01/1990,service inflation,-1.281894,,,,,,,,,,,,,,
01/02/1990,service inflation,-1.298967,,,,,,,,,,,,,,
01/03/1990,service inflation,-1.322628,,,,,,,,,,,,,,
01/04/1990,service inflation,-1.289538,,,,,,,,,,,,,,
01/05/1990,service inflation,-1.276559,,,,,,,,,,,,,,
01/06/1990,service inflation,-1.250186,,,,,,,,,,,,,,
01/07/1990,service inflation,-1.269459,,,,,,,,,,,,,,
01/08/1990,service inflation,-1.2613,,,,,,,,,,,,,,
01/09/1990,service inflation,-1.266739,,,,,,,,,,,,,,
01/10/1990,service inflation,-1.262558,,,,,,,,,,,,,,
01/11/1990,service inflation,-1.260524,,,,,,,,,,,,,,
01/12/1990,service inflation,-1.254039,,,,,,,,,,,,,,
01/01/1991,service inflation,-1.254408,,,,,,,,,,,,,,
01/02/1991,service inflation,-1.224275,,,,,,,,,,,,,,
01/03/1991,service inflation,-1.213423,,,,,,,,,,,,,,
01/04/1991,service inflation,-1.190666,,,,,,,,,,,,,,
01/05/1991,service inflation,-1.151629,,,,,,,,,,,,,,
01/06/1991,service inflation,-1.12229,,,,,,,,,,,,,,
01/07/1991,service inflation,-1.119581,,,,,,,,,,,,,,
01/08/1991,service inflation,-1.097795,,,,,,,,,,,,,,
01/09/1991,service inflation,-1.088291,,,,,,,,,,,,,,
01/10/1991,service inflation,-1.082436,,,,,,,,,,,,,,
01/11/1991,service inflation,-1.097443,,,,,,,,,,,,,,
01/12/1991,service inflation,-1.086696,,,,,,,,,,,,,,
01/01/1992,service inflation,-1.0895,,,,,,,,,,,,,,
01/02/1992,service inflation,-1.11252,,,,,,,,,,,,,,
01/03/1992,service inflation,-1.095649,,,,,,,,,,,,,,
01/04/1992,service inflation,-1.091044,,,,,,,,,,,,,,
01/05/1992,service inflation,-1.098457,,,,,,,,,,,,,,
01/06/1992,service inflation,-1.100076,,,,,,,,,,,,,,
01/07/1992,service inflation,-1.08808,,,,,,,,,,,,,,
01/08/1992,service inflation,-1.069634,,,,,,,,,,,,,,
01/09/1992,service inflation,-1.07441,,,,,,,,,,,,,,
01/10/1992,service inflation,-1.078016,,,,,,,,,,,,,,
01/11/1992,service inflation,-1.072674,,,,,,,,,,,,,,
01/12/1992,service inflation,-1.080605,,,,,,,,,,,,,,
01/01/1993,service inflation,-1.072875,,,,,,,,,,,,,,
01/02/1993,service inflation,-1.135799,,,,,,,,,,,,,,
01/03/1993,service inflation,-1.132372,,,,,,,,,,,,,,
01/04/1993,service inflation,-1.126516,,,,,,,,,,,,,,
01/05/1993,service inflation,-1.117483,,,,,,,,,,,,,,
01/06/1993,service inflation,-1.111662,,,,,,,,,,,,,,
01/07/1993,service inflation,-1.095162,,,,,,,,,,,,,,
