Period,Total pay (nominal),Regular pay (nominal),Total pay (real),Regular pay (real)
Jan to Mar 2001,6.2,3.9,4.9,2.7
Feb to Apr 2001,6.3,4.5,4.9,3.2
Mar to May 2001,5.1,4.9,3.6,3.3
Apr to Jun 2001,5.5,5.1,3.7,3.2
May to Jul 2001,5.2,5.1,3.3,3.2
Jun to Aug 2001,5.2,5.3,3.2,3.4
Jul to Sep 2001,4.8,5.2,2.9,3.4
Aug to Oct 2001,4.7,5,3,3.3
Sep to Nov 2001,4.5,4.8,3,3.3
Oct to Dec 2001,4.1,4.7,2.7,3.2
Nov to Jan 2002,3.8,4.6,2.3,3
Dec to Feb 2002,3.3,4.7,1.6,3
Jan to Mar 2002,3.2,4.9,1.4,3
Feb to Apr 2002,3.1,4.7,1.3,2.9
Mar to May 2002,3.3,4.4,1.8,2.8
Apr to Jun 2002,3.5,4.2,2.1,2.9
May to Jul 2002,3.8,4.2,2.4,2.9
Jun to Aug 2002,3.5,3.9,2.2,2.5
Jul to Sep 2002,3.3,3.5,2,2.1
Aug to Oct 2002,3,3.2,1.6,1.8
Sep to Nov 2002,2.9,3.2,1.4,1.7
Oct to Dec 2002,2.7,3,1.1,1.4
Nov to Jan 2003,2.6,3.1,1,1.5
Dec to Feb 2003,2.4,3.1,0.8,1.6
Jan to Mar 2003,2.9,3,1.3,1.5
Feb to Apr 2003,3.1,3,1.5,1.4
Mar to May 2003,3.3,3.1,1.8,1.5
Apr to Jun 2003,2.8,3.1,1.4,1.8
May to Jul 2003,2.7,3,1.4,1.8
Jun to Aug 2003,2.9,3.1,1.5,1.9
Jul to Sep 2003,3.1,3.4,1.9,2.1
Aug to Oct 2003,3.5,3.6,2.3,2.3
Sep to Nov 2003,3.6,3.7,2.4,2.3
Oct to Dec 2003,3.9,3.9,2.6,2.6
Nov to Jan 2004,4,3.8,2.6,2.4
Dec to Feb 2004,3.9,3.7,2.6,2.2
Jan to Mar 2004,3.7,3.4,2.6,2
Feb to Apr 2004,3.8,3.4,2.7,2.2
Mar to May 2004,4.1,3.5,2.8,2.3
Apr to Jun 2004,4.3,3.6,2.8,2.2
May to Jul 2004,4.4,3.7,2.8,2.1
Jun to Aug 2004,4.4,3.8,2.9,2.3
Jul to Sep 2004,4.6,3.8,3,2.4
Aug to Oct 2004,4.7,3.8,3.1,2.5
Sep to Nov 2004,4.9,3.8,3.1,2.4
Oct to Dec 2004,4.8,3.9,3.1,2.4
Nov to Jan 2005,4.8,4,3.1,2.3
Dec to Feb 2005,5,4.1,3.3,2.5
Jan to Mar 2005,5.1,4.3,3,2.5
Feb to Apr 2005,4.7,4.3,2.8,2.4
Mar to May 2005,4.3,4.3,2.3,2.3
Apr to Jun 2005,4.3,4.2,2.3,2.2
May to Jul 2005,4.5,4.3,2.4,2.2
Jun to Aug 2005,4.7,4.3,2.5,2.1
Jul to Sep 2005,4.8,4.5,2.4,2
Aug to Oct 2005,4.5,4.4,2.3,1.9
Sep to Nov 2005,4.3,4.3,2.2,1.9
Oct to Dec 2005,4.3,4,2.1,1.8
Nov to Jan 2006,4.4,4,2,1.8
Dec to Feb 2006,4.9,4,2.5,1.8
Jan to Mar 2006,5.2,4,2.8,1.8
