Period,Total pay (real),Regular pay (real),CPIH
Jan-01,4.2,2.4,1.2
Feb-01,7,2.4,1.2
Mar-01,3.5,3.3,1.3
Apr-01,4.3,3.8,1.5
May-01,3.1,2.9,1.9
Jun-01,3.7,2.9,1.9
Jul-01,3.1,3.7,1.7
Aug-01,2.9,3.5,2.1
Sep-01,2.7,3.1,1.7
Oct-01,3.2,3.2,1.6
Nov-01,3,3.5,1.2
Dec-01,2,3,1.4
Jan-02,1.9,2.7,1.8
Feb-02,1,3.4,1.7
Mar-02,1.4,3.1,1.7
Apr-02,1.5,2.3,1.6
May-02,2.4,2.8,1.2
Jun-02,2.5,3.4,1.1
Jul-02,2.5,2.5,1.4
Aug-02,1.8,1.7,1.3
Sep-02,1.7,2,1.2
Oct-02,1.2,1.6,1.5
Nov-02,1.2,1.4,1.6
Dec-02,0.8,1.2,1.7
Jan-03,1,2,1.4
Feb-03,0.5,1.5,1.6
Mar-03,2.5,1.1,1.6
Apr-03,1.6,1.6,1.5
May-03,1.5,1.9,1.3
Jun-03,1.3,1.7,1.2
Jul-03,1.4,1.7,1.3
Aug-03,1.9,2.2,1.4
Sep-03,2.3,2.3,1.3
Oct-03,2.7,2.3,1.3
Nov-03,2.4,2.4,1.3
Dec-03,2.7,3,1.3
Jan-04,2.8,1.9,1.5
Feb-04,2.3,1.8,1.4
Mar-04,2.7,2.3,1.2
Apr-04,3,2.4,1.1
May-04,2.8,2.1,1.4
Jun-04,2.8,2,1.5
Jul-04,2.9,2.3,1.4
Aug-04,3.1,2.5,1.4
Sep-04,3.1,2.3,1.2
Oct-04,3.2,2.6,1.3
Nov-04,3.1,2.2,1.5
Dec-04,3.1,2.4,1.8
Jan-05,2.9,2.5,1.7
Feb-05,3.8,2.5,1.7
Mar-05,2.4,2.6,2
Apr-05,2.1,2.2,1.9
May-05,2.5,2.2,1.9
Jun-05,2.3,2.3,2
Jul-05,2.4,2.1,2.3
Aug-05,2.7,2,2.4
Sep-05,2.2,2,2.5
Oct-05,1.9,1.8,2.4
Nov-05,2.4,2,2.2
Dec-05,2.1,1.5,2.1
Jan-06,1.5,1.8,2.2
Feb-06,3.8,2,2.2
Mar-06,3,1.6,2
Apr-06,2.6,1.5,2.2
May-06,2.1,1.5,2.4
Jun-06,2.8,1.6,2.6
Jul-06,2.1,1.1,2.5
Aug-06,1.1,0.7,2.6
Sep-06,1.3,1,2.5
Oct-06,1.9,1.5,2.5
Nov-06,1.6,1.3,2.8
Dec-06,2.6,1.2,2.9
Jan-07,3.7,1.1,2.7
Feb-07,4.5,1.1,2.7
Mar-07,1,1,2.9
Apr-07,1.7,1.2,2.7
May-07,2.2,1.7,2.5
Jun-07,1.8,1.7,2.5
Jul-07,2.7,2.6,2
Aug-07,3.2,2.9,2
Sep-07,3.4,2.5,2
Oct-07,2.1,1.6,2.3
Nov-07,2.3,1.8,2.2
Dec-07,0.7,1.6,2.3
Jan-08,1.5,1.7,2.4
Feb-08,1.8,1.6,2.6
Mar-08,2.1,1.7,2.6
Apr-08,1.4,1.5,3
May-08,0.9,0.4,3.3
Jun-08,-0.3,-0.2,3.7
Jul-08,-0.9,-0.8,4.2
Aug-08,-1.3,-1.1,4.4
Sep-08,-2.1,-1.5,4.8
Oct-08,-0.9,-0.5,4.2
Nov-08,-1.5,-0.5,3.8
Dec-08,-0.4,0.1,3
Jan-09,-4,-0.2,2.9
Feb-09,-8.3,-0.4,3.1
Mar-09,-4.8,-0.8,2.8
Apr-09,-0.2,-0.3,2.3
May-09,-1.2,0.2,2.1
Jun-09,-0.7,0.3,1.7
Jul-09,-1.2,-0.2,1.6
Aug-09,-0.8,-0.2,1.4
Sep-09,-0.2,0.5,1
Oct-09,-1,-0.2,1.2
Nov-09,-0.7,-0.5,1.5
Dec-09,-0.9,-0.7,2.1
Jan-10,-1,-0.6,2.6
Feb-10,3.9,-0.5,2.1
Mar-10,3.6,-0.2,2.4
