,Month,Measure,Inflation Index
0,2022-11,Train,105.61
1,2022-11,Transport Services,116.35
2,2022-11,Transport,122.18
3,2022-11,All Items,114.26
4,2022-10,Train,107.29
5,2022-10,Transport Services,116.24
6,2022-10,Transport,121.32
7,2022-10,All Items,113.9
8,2022-09,Train,104.8
9,2022-09,Transport Services,112.06
10,2022-09,Transport,118.37
11,2022-09,All Items,112.74
12,2022-08,Train,110.79
13,2022-08,Transport Services,128.51
14,2022-08,Transport,123.42
15,2022-08,All Items,113.38
16,2022-07,Train,116.35
17,2022-07,Transport Services,133.08
18,2022-07,Transport,126.4
19,2022-07,All Items,112.87
20,2022-06,Train,109.48
21,2022-06,Transport Services,117.53
22,2022-06,Transport,125.55
23,2022-06,All Items,112.55
24,2022-05,Train,107.19
25,2022-05,Transport Services,113.18
26,2022-05,Transport,121.16
27,2022-05,All Items,111.72
28,2022-04,Train,106.46
29,2022-04,Transport Services,114.26
30,2022-04,Transport,119.7
31,2022-04,All Items,110.97
32,2022-03,Train,99.47
33,2022-03,Transport Services,103.78
34,2022-03,Transport,120.77
35,2022-03,All Items,110.49
36,2022-02,Train,98.57
37,2022-02,Transport Services,104.79
38,2022-02,Transport,116.14
39,2022-02,All Items,108.94
40,2022-01,Train,92.36
41,2022-01,Transport Services,100.7
42,2022-01,Transport,113.66
43,2022-01,All Items,108.12
44,2021-12,Train,104.41
45,2021-12,Transport Services,109.96
46,2021-12,Transport,112.82
47,2021-12,All Items,107.85
48,2021-11,Train,99.34
49,2021-11,Transport Services,106.2
50,2021-11,Transport,112.86
51,2021-11,All Items,107.64
52,2021-10,Train,98.54
53,2021-10,Transport Services,104.29
54,2021-10,Transport,112.15
55,2021-10,All Items,107.25
56,2021-09,Train,95.35
57,2021-09,Transport Services,102.2
58,2021-09,Transport,110.5
59,2021-09,All Items,106.81
60,2021-08,Train,103.57
61,2021-08,Transport Services,110.45
62,2021-08,Transport,110.97
63,2021-08,All Items,107.05
64,2021-07,Train,103.71
65,2021-07,Transport Services,111.48
66,2021-07,Transport,111.33
67,2021-07,All Items,106.4
68,2021-06,Train,95.27
69,2021-06,Transport Services,103.13
70,2021-06,Transport,109.62
71,2021-06,All Items,106.34
72,2021-05,Train,95.6
73,2021-05,Transport Services,103.37
74,2021-05,Transport,108.96
75,2021-05,All Items,106.2
76,2021-04,Train,92.87
77,2021-04,Transport Services,98.39
78,2021-04,Transport,108.18
79,2021-04,All Items,105.86
80,2021-03,Train,87.38
81,2021-03,Transport Services,97.55
82,2021-03,Transport,108.17
83,2021-03,All Items,105.75
84,2021-02,Train,88.24
85,2021-02,Transport Services,98.51
86,2021-02,Transport,107.39
87,2021-02,All Items,105.12
88,2021-01,Train,85.46
89,2021-01,Transport Services,96.64
90,2021-01,Transport,106.34
91,2021-01,All Items,105.12
92,2020-12,Train,92.61
93,2020-12,Transport Services,103.18
94,2020-12,Transport,106.05
95,2020-12,All Items,104.96
96,2020-11,Train,89.07
97,2020-11,Transport Services,94.71
98,2020-11,Transport,103.9
99,2020-11,All Items,104.73
100,2020-10,Train,91.02
101,2020-10,Transport Services,95.63
102,2020-10,Transport,103.94
103,2020-10,All Items,104.51
104,2020-09,Train,89.24
105,2020-09,Transport Services,95.26
106,2020-09,Transport,103.88
107,2020-09,All Items,104.55
108,2020-08,Train,95.32
109,2020-08,Transport Services,105.91
110,2020-08,Transport,105.96
111,2020-08,All Items,105.09
112,2020-07,Train,96.94
113,2020-07,Transport Services,109.69
114,2020-07,Transport,106.65
115,2020-07,All Items,105.19
116,2020-06,Train,95.68
117,2020-06,Transport Services,104.63
118,2020-06,Transport,105.25
119,2020-06,All Items,104.79
120,2020-05,Train,96.7
121,2020-05,Transport Services,99.15
122,2020-05,Transport,103.37
123,2020-05,All Items,104.71
124,2020-04,Train,96.6
125,2020-04,Transport Services,96.7
126,2020-04,Transport,103.41
127,2020-04,All Items,104.56
128,2020-03,Train,95.34
129,2020-03,Transport Services,95.84
130,2020-03,Transport,104.93
131,2020-03,All Items,104.59
132,2020-02,Train,96.13
133,2020-02,Transport Services,99.49
134,2020-02,Transport,107.4
135,2020-02,All Items,104.53
136,2020-01,Train,90.5
137,2020-01,Transport Services,96.58
138,2020-01,Transport,107.71
139,2020-01,All Items,104.54
140,2019-12,Train,99.89
141,2019-12,Transport Services,104.99
142,2019-12,Transport,108.98
143,2019-12,All Items,104.98
144,2019-11,Train,99.83
145,2019-11,Transport Services,98.73
146,2019-11,Transport,107.21
147,2019-11,All Items,104.52
148,2019-10,Train,99.74
149,2019-10,Transport Services,101.77
150,2019-10,Transport,107.66
151,2019-10,All Items,104.46
152,2019-09,Train,99.74
153,2019-09,Transport Services,98.63
154,2019-09,Transport,106.8
155,2019-09,All Items,104.5
156,2019-08,Train,99.73
157,2019-08,Transport Services,111.32
158,2019-08,Transport,108.76
159,2019-08,All Items,104.86
160,2019-07,Train,99.73
161,2019-07,Transport Services,110.82
162,2019-07,Transport,108.84
163,2019-07,All Items,104.38
164,2019-06,Train,99.72
165,2019-06,Transport Services,101.88
166,2019-06,Transport,107.55
167,2019-06,All Items,104.58
168,2019-05,Train,98.77
169,2019-05,Transport Services,98.28
170,2019-05,Transport,107.76
