,Date,Measure,Percentage
0,2007-01-01,1. All Items Index,100.0
1,2007-01-01,3. Train Fares,100.0
2,2007-02-01,1. All Items Index,100.25647171620327
3,2007-03-01,1. All Items Index,100.392138063279
4,2007-04-01,1. All Items Index,100.54985618408439
5,2007-05-01,1. All Items Index,100.69894534995207
6,2007-06-01,1. All Items Index,100.85906040268456
7,2007-07-01,1. All Items Index,101.04170661553212
8,2007-08-01,1. All Items Index,101.20757430488975
9,2007-09-01,1. All Items Index,101.41610738255035
10,2007-10-01,1. All Items Index,101.66682646212848
11,2007-11-01,1. All Items Index,101.94630872483222
12,2007-12-01,1. All Items Index,102.18983700862897
13,2008-01-01,1. All Items Index,102.47890699904123
14,2008-01-01,3. Train Fares,105.617
15,2008-02-01,1. All Items Index,102.55944391179291
16,2008-03-01,1. All Items Index,102.79002876318313
17,2008-04-01,1. All Items Index,102.85714285714286
18,2008-05-01,1. All Items Index,103.0373921380633
19,2008-06-01,1. All Items Index,103.2713326941515
20,2008-07-01,1. All Items Index,103.53068072866732
21,2008-08-01,1. All Items Index,103.73585810162992
22,2008-09-01,1. All Items Index,103.88926174496645
23,2008-10-01,1. All Items Index,103.92521572387345
24,2008-11-01,1. All Items Index,104.0014381591563
25,2008-12-01,1. All Items Index,103.9908916586769
26,2009-01-01,1. All Items Index,104.19271332694153
27,2009-01-01,3. Train Fares,105.205
28,2009-02-01,1. All Items Index,104.40651965484182
29,2009-03-01,1. All Items Index,104.62751677852349
30,2009-04-01,1. All Items Index,104.84467881112177
31,2009-05-01,1. All Items Index,104.93959731543625
32,2009-06-01,1. All Items Index,105.03930968360498
33,2009-07-01,1. All Items Index,105.11169702780442
34,2009-08-01,1. All Items Index,105.22339405560884
35,2009-09-01,1. All Items Index,105.42665388302973
36,2009-10-01,1. All Items Index,105.70517737296262
37,2009-11-01,1. All Items Index,105.78427612655801
38,2009-12-01,1. All Items Index,105.88734419942475
39,2010-01-01,1. All Items Index,105.76845637583894
40,2010-01-01,3. Train Fares,111.495
41,2010-02-01,1. All Items Index,105.81543624161074
42,2010-03-01,1. All Items Index,105.84036433365293
43,2010-04-01,1. All Items Index,105.85906040268458
44,2010-05-01,1. All Items Index,105.9261744966443
45,2010-06-01,1. All Items Index,106.03739213806328
46,2010-07-01,1. All Items Index,106.11840843720039
47,2010-08-01,1. All Items Index,106.18839884947268
48,2010-09-01,1. All Items Index,106.28523489932887
49,2010-10-01,1. All Items Index,106.34228187919464
50,2010-11-01,1. All Items Index,106.49520613614574
51,2010-12-01,1. All Items Index,106.5882070949185
52,2011-01-01,1. All Items Index,106.80872483221476
53,2011-01-01,3. Train Fares,111.499
54,2011-02-01,1. All Items Index,107.0052732502397
55,2011-03-01,1. All Items Index,107.12080536912752
56,2011-04-01,1. All Items Index,107.251677852349
57,2011-05-01,1. All Items Index,107.46644295302015
58,2011-06-01,1. All Items Index,107.71668264621286
59,2011-07-01,1. All Items Index,107.96644295302013
60,2011-08-01,1. All Items Index,108.2751677852349
61,2011-09-01,1. All Items Index,108.39789069990412
62,2011-10-01,1. All Items Index,108.58389261744968
63,2011-11-01,1. All Items Index,108.77229146692235
64,2011-12-01,1. All Items Index,109.01486097794823
65,2012-01-01,1. All Items Index,109.24113135186963
66,2012-01-01,3. Train Fares,112.133
67,2012-02-01,1. All Items Index,109.3163950143816
68,2012-03-01,1. All Items Index,109.52924256951104
69,2012-04-01,1. All Items Index,109.73394055608821
70,2012-05-01,1. All Items Index,109.88686481303931
71,2012-06-01,1. All Items Index,110.07813998082455
72,2012-07-01,1. All Items Index,110.2444870565676
73,2012-08-01,1. All Items Index,110.37056567593481
74,2012-09-01,1. All Items Index,110.57478427612656
75,2012-10-01,1. All Items Index,110.74976030680729
76,2012-11-01,1. All Items Index,110.89645254074786
77,2012-12-01,1. All Items Index,111.08581016299138
78,2013-01-01,1. All Items Index,111.32742090124641
79,2013-01-01,3. Train Fares,113.635
80,2013-02-01,1. All Items Index,111.49041227229147
81,2013-03-01,1. All Items Index,111.59827420901247
82,2013-04-01,1. All Items Index,111.61649089165869
83,2013-05-01,1. All Items Index,111.69511025886867
84,2013-06-01,1. All Items Index,111.8648130393097
85,2013-07-01,1. All Items Index,112.11888782358582
86,2013-08-01,1. All Items Index,112.33748801534038
87,2013-09-01,1. All Items Index,112.51198465963567
88,2013-10-01,1. All Items Index,112.61792905081496
89,2013-11-01,1. All Items Index,112.82790028763185
90,2013-12-01,1. All Items Index,113.01965484180249
91,2014-01-01,1. All Items Index,113.11649089165869
92,2014-01-01,3. Train Fares,110.727
93,2014-02-01,1. All Items Index,113.22387344199426
94,2014-03-01,1. All Items Index,113.43480345158198
95,2014-04-01,1. All Items Index,113.6490891658677
96,2014-05-01,1. All Items Index,113.86816874400768
97,2014-06-01,1. All Items Index,114.01581975071909
98,2014-07-01,1. All Items Index,114.18744007670183
99,2014-08-01,1. All Items Index,114.28811121764143
100,2014-09-01,1. All Items Index,114.47075743048899
101,2014-10-01,1. All Items Index,114.66490891658678
102,2014-11-01,1. All Items Index,114.79290508149569
103,2014-12-01,1. All Items Index,114.85330776605946
104,2015-01-01,1. All Items Index,114.96212847555131
105,2015-01-01,3. Train Fares,109.969
106,2015-02-01,1. All Items Index,115.13518696069032
107,2015-03-01,1. All Items Index,115.41466922339406
108,2015-04-01,1. All Items Index,115.69798657718121
109,2015-05-01,1. All Items Index,115.86193672099712
110,2015-06-01,1. All Items Index,116.04218600191756
111,2015-07-01,1. All Items Index,116.28235858101631
112,2015-08-01,1. All Items Index,116.40316395014382
113,2015-09-01,1. All Items Index,116.64237775647173
114,2015-10-01,1. All Items Index,116.85906040268458
115,2015-11-01,1. All Items Index,117.08581016299138
116,2015-12-01,1. All Items Index,117.23250239693193
117,2016-01-01,1. All Items Index,117.42809204218602
118,2016-01-01,3. Train Fares,112.407
119,2016-02-01,1. All Items Index,117.6941514860978
120,2016-03-01,1. All Items Index,117.88734419942475
121,2016-04-01,1. All Items Index,118.19319271332694
122,2016-05-01,1. All Items Index,118.47411313518697
123,2016-06-01,1. All Items Index,118.6673058485139
124,2016-07-01,1. All Items Index,118.80584851390222
125,2016-08-01,1. All Items Index,119.09060402684565
126,2016-09-01,1. All Items Index,119.29146692233942
127,2016-10-01,1. All Items Index,119.4352828379674
128,2016-11-01,1. All Items Index,119.59779482262704
129,2016-12-01,1. All Items Index,119.80824544582934
130,2017-01-01,1. All Items Index,120.07046979865773
131,2017-01-01,3. Train Fares,116.097
132,2017-02-01,1. All Items Index,120.32502396931928
133,2017-03-01,1. All Items Index,120.29913710450623
134,2017-04-01,1. All Items Index,120.43480345158198
135,2017-05-01,1. All Items Index,120.5321188878236
136,2017-06-01,1. All Items Index,120.68360498561842
137,2017-07-01,1. All Items Index,120.7981783317354
138,2017-08-01,1. All Items Index,121.06184084372005
139,2017-09-01,1. All Items Index,121.19463087248323
140,2017-10-01,1. All Items Index,121.53691275167786
141,2017-11-01,1. All Items Index,121.6759348034516
142,2017-12-01,1. All Items Index,121.92905081495687
143,2018-01-01,1. All Items Index,122.27804410354747
144,2018-01-01,3. Train Fares,116.097
145,2018-02-01,1. All Items Index,122.51581975071909
146,2018-03-01,1. All Items Index,122.78427612655801
147,2018-04-01,1. All Items Index,123.01198465963567
148,2018-05-01,1. All Items Index,123.27468839884949
149,2018-06-01,1. All Items Index,123.41754554170663
150,2018-07-01,1. All Items Index,123.60882070949187
151,2018-08-01,1. All Items Index,123.69511025886867
152,2018-09-01,1. All Items Index,123.92377756471717
153,2018-10-01,1. All Items Index,124.15963566634709
154,2018-11-01,1. All Items Index,124.37919463087249
155,2018-12-01,1. All Items Index,124.60882070949187
156,2019-01-01,1. All Items Index,124.89645254074784
157,2019-01-01,3. Train Fares,112.085
158,2019-02-01,1. All Items Index,125.06471716203261
159,2019-03-01,1. All Items Index,125.30297219558966
160,2019-04-01,1. All Items Index,125.57909875359542
161,2019-05-01,1. All Items Index,125.7531160115053
162,2019-06-01,1. All Items Index,126.05225311601151
163,2019-07-01,1. All Items Index,126.31399808245446
164,2019-08-01,1. All Items Index,126.62272291466923
165,2019-09-01,1. All Items Index,126.83988494726752
166,2019-10-01,1. All Items Index,127.0465004793864
167,2019-11-01,1. All Items Index,127.25838926174498
168,2019-12-01,1. All Items Index,127.39309683604988
