,LOCATION,Year,Rail KM (mil),Bus KM (mil),Rail Infrastructure Investment,Population,Country,Satisfaction
0,PRT,2000,3834.0,11821.0,491900495.66952,10289898.0,Portugal,
1,PRT,2001,3899.0,11159.0,497709630.77185,10362721.5,Portugal,
2,PRT,2002,3926.0,9936.0,619500267.55334,10419630.5,Portugal,
3,PRT,2003,3585.0,10537.0,826000552.05348,10458821.0,Portugal,
4,PRT,2004,3633.0,10773.0,553253069.89655,10483861.0,Portugal,
5,PRT,2005,3753.0,10830.0,459350268.41552,10503330.0,Portugal,
6,PRT,2006,3876.0,10557.0,327132264.80761,10522288.0,Portugal,60.0
7,PRT,2007,3987.0,10878.0,344394431.06877,10542963.5,Portugal,
8,PRT,2008,4213.0,10937.0,389339513.45451,10558176.5,Portugal,64.0
9,PRT,2011,4143.0,5850.0,314299197.73478,10557559.5,Portugal,62.0
10,PRT,2012,3803.0,5850.0,78779828.699675,10514843.5,Portugal,49.0
11,PRT,2013,3649.0,6023.0,65370008.056163,10457295.0,Portugal,58.0
12,PRT,2014,3852.0,5657.0,112298214.18149,10401061.5,Portugal,57.0
13,PRT,2015,3957.0,6575.0,177000000.0,10358076.0,Portugal,52.0
14,PRT,2016,4146.0,7612.0,80388715.052533,10325451.5,Portugal,54.0
15,PRT,2017,4391.0,7415.0,108044396.42471,10300300.0,Portugal,55.0
16,PRT,2018,4487.0,7925.7121202886,126647051.25795,10283822.0,Portugal,54.0
17,PRT,2019,4964.014,7941.3751576926,207873864.1256,10286263.0,Portugal,52.0
18,PRT,2020,2552.0,3939.4622697072,219159887.17223,10297080.5,Portugal,55.0
19,AUS,2000,11552.161964256,16996.687027571,757868995.44419,19028802.0,Australia,
20,AUS,2001,12149.624986664,17264.66210232,724221545.43881,19274701.0,Australia,
21,AUS,2002,12005.65718487,17352.3028602,1238987079.9257,19495210.0,Australia,
22,AUS,2003,12021.773106727,17688.911977734,1350204821.8554,19720737.0,Australia,
23,AUS,2004,12087.046535813,17761.560590695,1856974879.826,19932722.0,Australia,
24,AUS,2005,12062.893352373,17841.671881043,2285346585.5415,20176844.0,Australia,
25,AUS,2006,12590.874021192,18269.144800451,1864551378.131,20450966.0,Australia,50.0
26,AUS,2007,13212.731578192,18531.899894518,2720924734.6333,20827622.0,Australia,49.0
27,AUS,2008,14276.384048686,18884.73740848,2409035895.198,21249199.0,Australia,47.0
28,AUS,2009,15004.14159834,19242.576039048,3198742609.4499,21691653.0,Australia,
29,AUS,2010,14992.79186061,19540.963097492,3977537370.5937,22031750.0,Australia,54.0
30,AUS,2011,15275.793628,19929.455577663,5055885879.2022,22340024.0,Australia,49.0
31,AUS,2012,15568.963881337,20412.515568053,5747460245.2414,22733465.0,Australia,53.0
32,AUS,2013,15543.667841316,20774.536578772,4684787593.891,23128129.0,Australia,54.0
33,AUS,2014,15571.083308422,21167.547179332,4323613142.9281,23475686.0,Australia,52.0
34,AUS,2015,16016.860652115,21301.074915364,2796273621.706,23815995.0,Australia,57.0
35,AUS,2016,16503.758569102,21632.606525194,2578743510.0758,24190907.0,Australia,54.0
36,AUS,2017,17039.193726877,22094.211143714,3674914482.8462,24601860.0,Australia,59.0
37,AUS,2018,18020.934471189,22533.368789974,4981218952.0275,24982688.0,Australia,53.0
38,JPN,2000,384287.0,81582.0,7739531938.5165,126925843.0,Japan,
39,JPN,2001,385402.0,81240.0,8161436645.4376,127291000.0,Japan,
40,JPN,2002,382239.0,82388.0,8475343470.0549,127435000.0,Japan,
41,JPN,2003,385012.0,83085.0,7730599682.1799,127619000.0,Japan,
42,JPN,2004,385163.0,83151.0,6481659568.8668,127687000.0,Japan,
43,JPN,2005,391215.0,84266.0,6340775962.7021,127767994.0,Japan,
44,JPN,2006,395908.0,84075.0,7400526989.6635,127900515.0,Japan,69.0
45,JPN,2007,405544.0,83082.0,8186561789.7995,128032743.0,Japan,67.0
46,JPN,2008,404585.0,83831.0,7979256575.3587,128083960.0,Japan,60.0
47,JPN,2009,393765.0,81360.0,9192312140.4109,128031514.0,Japan,62.0
