,Entity,Code,Year,Productivity: output per hour worked
1099,France,FRA,2008,61.362904776959
1100,France,FRA,2009,60.533496903078365
1101,France,FRA,2010,62.62344765202142
1102,France,FRA,2011,63.61984812299305
1103,France,FRA,2012,64.42605478838985
1104,France,FRA,2013,64.4049005717959
1105,France,FRA,2014,64.65074983514947
1106,France,FRA,2015,65.61560478571138
1107,France,FRA,2016,65.87519178220055
1108,France,FRA,2017,68.37434063786331
1109,France,FRA,2018,68.86070680597635
1110,France,FRA,2019,68.63126022034518
1169,Germany,DEU,2008,64.23089624033565
1170,Germany,DEU,2009,61.58084474544985
1171,Germany,DEU,2010,63.39299634891587
1172,Germany,DEU,2011,65.64054663642405
1173,Germany,DEU,2012,65.2841755210385
1174,Germany,DEU,2013,65.47312026510336
1175,Germany,DEU,2014,67.03571209206716
1176,Germany,DEU,2015,65.97587728892385
1177,Germany,DEU,2016,67.61836754784309
1178,Germany,DEU,2017,69.84848267957038
1179,Germany,DEU,2018,69.22486467151433
1180,Germany,DEU,2019,68.85119219808927
3273,United Kingdom,GBR,2008,50.69226343026783
3274,United Kingdom,GBR,2009,48.38713901300774
3275,United Kingdom,GBR,2010,51.32954446000229
3276,United Kingdom,GBR,2011,51.850590088433655
3277,United Kingdom,GBR,2012,52.153335777376086
3278,United Kingdom,GBR,2013,53.17154250401428
3279,United Kingdom,GBR,2014,52.075989337438486
3280,United Kingdom,GBR,2015,53.37609134245945
3281,United Kingdom,GBR,2016,53.07987179536254
3282,United Kingdom,GBR,2017,54.67692069071671
3283,United Kingdom,GBR,2018,54.799586390116296
3284,United Kingdom,GBR,2019,54.34880891852508
3343,United States,USA,2008,64.56712246762062
3344,United States,USA,2009,66.3415943310586
3345,United States,USA,2010,68.20561939298847
3346,United States,USA,2011,68.31263726977906
3347,United States,USA,2012,68.82277472058746
3348,United States,USA,2013,69.43636517609352
3349,United States,USA,2014,70.005378891678
3350,United States,USA,2015,70.63670841596108
3351,United States,USA,2016,70.92088856070612
3352,United States,USA,2017,71.63857050665041
3353,United States,USA,2018,72.48703163082074
3354,United States,USA,2019,73.70040372572633
