,Period,Measure,Percentage
0,Jan-01,Total pay (real),4.2
1,Jan-01,Regular pay (real),2.4
2,Feb-01,Total pay (real),7.0
3,Feb-01,Regular pay (real),2.4
4,Mar-01,Total pay (real),3.5
5,Mar-01,Regular pay (real),3.3
6,Apr-01,Total pay (real),4.3
7,Apr-01,Regular pay (real),3.8
8,May-01,Total pay (real),3.1
9,May-01,Regular pay (real),2.9
10,Jun-01,Total pay (real),3.7
11,Jun-01,Regular pay (real),2.9
12,Jul-01,Total pay (real),3.1
13,Jul-01,Regular pay (real),3.7
14,Aug-01,Total pay (real),2.9
15,Aug-01,Regular pay (real),3.5
16,Sep-01,Total pay (real),2.7
17,Sep-01,Regular pay (real),3.1
18,Oct-01,Total pay (real),3.2
19,Oct-01,Regular pay (real),3.2
20,Nov-01,Total pay (real),3.0
21,Nov-01,Regular pay (real),3.5
22,Dec-01,Total pay (real),2.0
23,Dec-01,Regular pay (real),3.0
24,Jan-02,Total pay (real),1.9
25,Jan-02,Regular pay (real),2.7
26,Feb-02,Total pay (real),1.0
27,Feb-02,Regular pay (real),3.4
28,Mar-02,Total pay (real),1.4
29,Mar-02,Regular pay (real),3.1
30,Apr-02,Total pay (real),1.5
31,Apr-02,Regular pay (real),2.3
32,May-02,Total pay (real),2.4
33,May-02,Regular pay (real),2.8
34,Jun-02,Total pay (real),2.5
35,Jun-02,Regular pay (real),3.4
36,Jul-02,Total pay (real),2.5
37,Jul-02,Regular pay (real),2.5
38,Aug-02,Total pay (real),1.8
39,Aug-02,Regular pay (real),1.7
40,Sep-02,Total pay (real),1.7
41,Sep-02,Regular pay (real),2.0
42,Oct-02,Total pay (real),1.2
43,Oct-02,Regular pay (real),1.6
44,Nov-02,Total pay (real),1.2
45,Nov-02,Regular pay (real),1.4
46,Dec-02,Total pay (real),0.8
47,Dec-02,Regular pay (real),1.2
48,Jan-03,Total pay (real),1.0
49,Jan-03,Regular pay (real),2.0
50,Feb-03,Total pay (real),0.5
51,Feb-03,Regular pay (real),1.5
52,Mar-03,Total pay (real),2.5
53,Mar-03,Regular pay (real),1.1
54,Apr-03,Total pay (real),1.6
55,Apr-03,Regular pay (real),1.6
56,May-03,Total pay (real),1.5
57,May-03,Regular pay (real),1.9
58,Jun-03,Total pay (real),1.3
59,Jun-03,Regular pay (real),1.7
60,Jul-03,Total pay (real),1.4
61,Jul-03,Regular pay (real),1.7
62,Aug-03,Total pay (real),1.9
63,Aug-03,Regular pay (real),2.2
64,Sep-03,Total pay (real),2.3
65,Sep-03,Regular pay (real),2.3
66,Oct-03,Total pay (real),2.7
67,Oct-03,Regular pay (real),2.3
68,Nov-03,Total pay (real),2.4
69,Nov-03,Regular pay (real),2.4
70,Dec-03,Total pay (real),2.7
71,Dec-03,Regular pay (real),3.0
72,Jan-04,Total pay (real),2.8
73,Jan-04,Regular pay (real),1.9
74,Feb-04,Total pay (real),2.3
75,Feb-04,Regular pay (real),1.8
76,Mar-04,Total pay (real),2.7
77,Mar-04,Regular pay (real),2.3
78,Apr-04,Total pay (real),3.0
79,Apr-04,Regular pay (real),2.4
80,May-04,Total pay (real),2.8
81,May-04,Regular pay (real),2.1
82,Jun-04,Total pay (real),2.8
83,Jun-04,Regular pay (real),2.0
84,Jul-04,Total pay (real),2.9
85,Jul-04,Regular pay (real),2.3
86,Aug-04,Total pay (real),3.1
87,Aug-04,Regular pay (real),2.5
88,Sep-04,Total pay (real),3.1
89,Sep-04,Regular pay (real),2.3
90,Oct-04,Total pay (real),3.2
91,Oct-04,Regular pay (real),2.6
92,Nov-04,Total pay (real),3.1
