,Date,Stock Difference,Value
0,2017-12-21,HongKongPT_Dif,1.167661503
1,2017-12-21,JapanRail_Dif,0.892295961
2,2017-12-21,SaudiPT_Dif,0.762277621
3,2017-12-21,TramsRail_FR_Dif,0.411520263
4,2017-12-21,Uestra_DE_Dif,-1.737746295
5,2017-12-27,HongKongPT_Dif,1.045034478
6,2017-12-27,JapanRail_Dif,0.878216466
7,2017-12-27,SaudiPT_Dif,0.799721198
8,2017-12-27,TramsRail_FR_Dif,0.43613305
9,2017-12-27,Uestra_DE_Dif,-1.711176102
10,2017-12-28,HongKongPT_Dif,0.912444261
11,2017-12-28,JapanRail_Dif,0.911609138
12,2017-12-28,SaudiPT_Dif,0.75163463
13,2017-12-28,TramsRail_FR_Dif,0.47840337
14,2017-12-28,Uestra_DE_Dif,-1.650919891
15,2018-04-01,HongKongPT_Dif,0.956141451
16,2018-04-01,JapanRail_Dif,0.834603918
17,2018-04-01,SaudiPT_Dif,0.791362239
18,2018-04-01,TramsRail_FR_Dif,0.46116562
19,2018-04-01,Uestra_DE_Dif,-1.625275008
20,2018-09-01,HongKongPT_Dif,0.705446061
21,2018-09-01,JapanRail_Dif,0.806305223
22,2018-09-01,SaudiPT_Dif,0.715274239
23,2018-09-01,TramsRail_FR_Dif,0.302759259
24,2018-09-01,Uestra_DE_Dif,-1.902086562
25,2018-10-01,HongKongPT_Dif,0.745736151
26,2018-10-01,JapanRail_Dif,0.920340453
27,2018-10-01,SaudiPT_Dif,0.700732356
28,2018-10-01,TramsRail_FR_Dif,0.330431544
29,2018-10-01,Uestra_DE_Dif,-1.832351075
30,2018-11-01,HongKongPT_Dif,0.848226928
31,2018-11-01,JapanRail_Dif,0.887762807
32,2018-11-01,SaudiPT_Dif,0.787000269
33,2018-11-01,TramsRail_FR_Dif,0.353607538
34,2018-11-01,Uestra_DE_Dif,-1.779880922
35,2018-01-16,HongKongPT_Dif,0.627748866
36,2018-01-16,JapanRail_Dif,0.750838102
37,2018-01-16,SaudiPT_Dif,0.571850172
38,2018-01-16,TramsRail_FR_Dif,0.317299766
39,2018-01-16,Uestra_DE_Dif,-1.627289302
40,2018-01-17,HongKongPT_Dif,0.605638034
41,2018-01-17,JapanRail_Dif,0.791102577
42,2018-01-17,SaudiPT_Dif,0.577265694
43,2018-01-17,TramsRail_FR_Dif,0.271230492
44,2018-01-17,Uestra_DE_Dif,-1.615842146
45,2018-01-18,HongKongPT_Dif,0.566698394
46,2018-01-18,JapanRail_Dif,0.729113322
47,2018-01-18,SaudiPT_Dif,0.562810588
48,2018-01-18,TramsRail_FR_Dif,0.270023811
49,2018-01-18,Uestra_DE_Dif,-1.691133487
50,2018-01-22,HongKongPT_Dif,0.490389834
51,2018-01-22,JapanRail_Dif,0.766276177
52,2018-01-22,SaudiPT_Dif,0.526060049
53,2018-01-22,TramsRail_FR_Dif,0.202264457
54,2018-01-22,Uestra_DE_Dif,-1.813052352
55,2018-01-23,HongKongPT_Dif,0.281557335
56,2018-01-23,JapanRail_Dif,0.761797896
57,2018-01-23,SaudiPT_Dif,0.522624761
58,2018-01-23,TramsRail_FR_Dif,0.271583187
59,2018-01-23,Uestra_DE_Dif,-1.937756067
60,2018-01-24,HongKongPT_Dif,0.158078604
61,2018-01-24,JapanRail_Dif,0.894829599
62,2018-01-24,SaudiPT_Dif,0.431067814
63,2018-01-24,TramsRail_FR_Dif,0.329198001
64,2018-01-24,Uestra_DE_Dif,-1.85094716
65,2018-01-25,HongKongPT_Dif,0.417013537
66,2018-01-25,JapanRail_Dif,0.993712584
67,2018-01-25,SaudiPT_Dif,0.449362642
68,2018-01-25,TramsRail_FR_Dif,0.349241536
69,2018-01-25,Uestra_DE_Dif,-1.783189037
70,2018-01-29,HongKongPT_Dif,0.329188392
71,2018-01-29,JapanRail_Dif,0.920968181
72,2018-01-29,SaudiPT_Dif,0.521537946
73,2018-01-29,TramsRail_FR_Dif,0.291224027
74,2018-01-29,Uestra_DE_Dif,-1.649292286
75,2018-01-30,HongKongPT_Dif,0.314660561
76,2018-01-30,JapanRail_Dif,0.978886081
77,2018-01-30,SaudiPT_Dif,0.544246671
78,2018-01-30,TramsRail_FR_Dif,0.359917156
79,2018-01-30,Uestra_DE_Dif,-1.71586142
80,2018-01-31,HongKongPT_Dif,0.293765124
81,2018-01-31,JapanRail_Dif,0.939846184
82,2018-01-31,SaudiPT_Dif,0.537492138
83,2018-01-31,TramsRail_FR_Dif,0.348206736
84,2018-01-31,Uestra_DE_Dif,-1.720447731
85,2018-01-02,HongKongPT_Dif,0.420487673
86,2018-01-02,JapanRail_Dif,0.960934027
87,2018-01-02,SaudiPT_Dif,0.597009296
88,2018-01-02,TramsRail_FR_Dif,0.387546645
89,2018-01-02,Uestra_DE_Dif,-1.444939313
90,2018-05-02,HongKongPT_Dif,0.532044877
91,2018-05-02,JapanRail_Dif,1.095015234
92,2018-05-02,SaudiPT_Dif,0.581959932
93,2018-05-02,TramsRail_FR_Dif,0.629961865
94,2018-05-02,Uestra_DE_Dif,-1.364471064
95,2018-06-02,HongKongPT_Dif,0.995792607
96,2018-06-02,JapanRail_Dif,1.273202144
97,2018-06-02,SaudiPT_Dif,0.542013816
98,2018-06-02,TramsRail_FR_Dif,0.808152886
99,2018-06-02,Uestra_DE_Dif,-1.14706924
100,2018-07-02,HongKongPT_Dif,1.072311987
101,2018-07-02,JapanRail_Dif,1.260659372
102,2018-07-02,SaudiPT_Dif,0.626428419
103,2018-07-02,TramsRail_FR_Dif,0.672965314
104,2018-07-02,Uestra_DE_Dif,-1.158266973
105,2018-08-02,HongKongPT_Dif,1.036312297
106,2018-08-02,JapanRail_Dif,1.176143726
107,2018-08-02,SaudiPT_Dif,0.703766568
108,2018-08-02,TramsRail_FR_Dif,0.822707425
109,2018-08-02,Uestra_DE_Dif,-1.038340908
110,2018-02-13,HongKongPT_Dif,1.092658925
111,2018-02-13,JapanRail_Dif,1.208847064
112,2018-02-13,SaudiPT_Dif,0.572440545
113,2018-02-13,TramsRail_FR_Dif,0.88368481
114,2018-02-13,Uestra_DE_Dif,-1.04612651
115,2018-02-14,HongKongPT_Dif,0.671398595
116,2018-02-14,JapanRail_Dif,1.232359767
117,2018-02-14,SaudiPT_Dif,0.576751126
118,2018-02-14,TramsRail_FR_Dif,0.803196373
119,2018-02-14,Uestra_DE_Dif,-1.151646759
120,2018-02-15,HongKongPT_Dif,0.502790457
121,2018-02-15,JapanRail_Dif,1.08797656
122,2018-02-15,SaudiPT_Dif,0.505102662
123,2018-02-15,TramsRail_FR_Dif,0.720925276
124,2018-02-15,Uestra_DE_Dif,-1.156335771
125,2018-02-20,HongKongPT_Dif,0.570758456
126,2018-02-20,JapanRail_Dif,1.135452701
127,2018-02-20,SaudiPT_Dif,0.510518666
128,2018-02-20,TramsRail_FR_Dif,0.624171901
129,2018-02-20,Uestra_DE_Dif,-1.251142901
130,2018-02-21,HongKongPT_Dif,0.41383545
131,2018-02-21,JapanRail_Dif,1.08960212
132,2018-02-21,SaudiPT_Dif,0.51398706
133,2018-02-21,TramsRail_FR_Dif,0.606484902
134,2018-02-21,Uestra_DE_Dif,-1.239496802
135,2018-02-22,HongKongPT_Dif,0.544884159
136,2018-02-22,JapanRail_Dif,1.080633404
137,2018-02-22,SaudiPT_Dif,0.516591031
138,2018-02-22,TramsRail_FR_Dif,0.596341063
139,2018-02-22,Uestra_DE_Dif,-1.233757369
140,2018-02-26,HongKongPT_Dif,0.510693383
141,2018-02-26,JapanRail_Dif,1.087815271
142,2018-02-26,SaudiPT_Dif,0.496647429
143,2018-02-26,TramsRail_FR_Dif,0.546010535
144,2018-02-26,Uestra_DE_Dif,-1.277324411
145,2018-02-27,HongKongPT_Dif,0.575327793
146,2018-02-27,JapanRail_Dif,1.0188255
147,2018-02-27,SaudiPT_Dif,0.503139377
148,2018-02-27,TramsRail_FR_Dif,0.598675876
149,2018-02-27,Uestra_DE_Dif,-1.253036012
150,2018-02-28,HongKongPT_Dif,0.694494277
151,2018-02-28,JapanRail_Dif,1.040244433
152,2018-02-28,SaudiPT_Dif,0.640842101
153,2018-02-28,TramsRail_FR_Dif,0.632354205
154,2018-02-28,Uestra_DE_Dif,-1.216324804
155,2018-01-03,HongKongPT_Dif,0.638407955
156,2018-01-03,JapanRail_Dif,1.06383945
157,2018-01-03,SaudiPT_Dif,0.615471455
158,2018-01-03,TramsRail_FR_Dif,0.715587841
159,2018-01-03,Uestra_DE_Dif,-1.002042411
160,2018-05-03,HongKongPT_Dif,1.195095899
161,2018-05-03,JapanRail_Dif,1.256284823
162,2018-05-03,SaudiPT_Dif,0.644511783
163,2018-05-03,TramsRail_FR_Dif,0.852557372
164,2018-05-03,Uestra_DE_Dif,-0.864463855
165,2018-06-03,HongKongPT_Dif,1.019598234
166,2018-06-03,JapanRail_Dif,1.156407939
167,2018-06-03,SaudiPT_Dif,0.728547534
168,2018-06-03,TramsRail_FR_Dif,0.848246995
169,2018-06-03,Uestra_DE_Dif,-0.879849143
170,2018-07-03,HongKongPT_Dif,1.107808235
171,2018-07-03,JapanRail_Dif,1.207917544
172,2018-07-03,SaudiPT_Dif,0.682006749
173,2018-07-03,TramsRail_FR_Dif,0.822959309
174,2018-07-03,Uestra_DE_Dif,-0.967806318
175,2018-08-03,HongKongPT_Dif,0.97918011
176,2018-08-03,JapanRail_Dif,1.152965031
177,2018-08-03,SaudiPT_Dif,0.635145968
178,2018-08-03,TramsRail_FR_Dif,0.727743049
179,2018-08-03,Uestra_DE_Dif,-1.041528576
180,2018-12-03,HongKongPT_Dif,0.425979043
181,2018-12-03,JapanRail_Dif,1.091196734
182,2018-12-03,SaudiPT_Dif,0.536259522
183,2018-12-03,TramsRail_FR_Dif,0.695257369
184,2018-12-03,Uestra_DE_Dif,-1.083550034
185,2018-03-13,HongKongPT_Dif,0.423977901
186,2018-03-13,JapanRail_Dif,1.080974507
187,2018-03-13,SaudiPT_Dif,0.512486161
188,2018-03-13,TramsRail_FR_Dif,0.743993255
189,2018-03-13,Uestra_DE_Dif,-0.911166272
190,2018-03-14,HongKongPT_Dif,0.528568054
191,2018-03-14,JapanRail_Dif,1.074199397
192,2018-03-14,SaudiPT_Dif,0.64072083
193,2018-03-14,TramsRail_FR_Dif,0.75754246
194,2018-03-14,Uestra_DE_Dif,-0.962709027
195,2018-03-15,HongKongPT_Dif,0.440941764
196,2018-03-15,JapanRail_Dif,1.015346607
197,2018-03-15,SaudiPT_Dif,0.699917241
198,2018-03-15,TramsRail_FR_Dif,0.708835338
199,2018-03-15,Uestra_DE_Dif,-1.034832135
200,2018-03-19,HongKongPT_Dif,0.448626807
201,2018-03-19,JapanRail_Dif,1.103537332
202,2018-03-19,SaudiPT_Dif,0.701835429
203,2018-03-19,TramsRail_FR_Dif,0.772657544
204,2018-03-19,Uestra_DE_Dif,-0.767205448
205,2018-03-20,HongKongPT_Dif,0.611877059
206,2018-03-20,JapanRail_Dif,1.175785516
207,2018-03-20,SaudiPT_Dif,0.691090411
208,2018-03-20,TramsRail_FR_Dif,0.73014238
209,2018-03-20,Uestra_DE_Dif,-0.999168223
210,2018-03-22,HongKongPT_Dif,0.746486648
211,2018-03-22,JapanRail_Dif,1.109925152
212,2018-03-22,SaudiPT_Dif,0.666675557
213,2018-03-22,TramsRail_FR_Dif,0.710921867
214,2018-03-22,Uestra_DE_Dif,-0.719255594
215,2018-03-26,HongKongPT_Dif,1.008905713
216,2018-03-26,JapanRail_Dif,1.276096684
217,2018-03-26,SaudiPT_Dif,0.580401084
218,2018-03-26,TramsRail_FR_Dif,0.855937576
219,2018-03-26,Uestra_DE_Dif,-0.661371138
220,2018-03-27,HongKongPT_Dif,0.709642564
221,2018-03-27,JapanRail_Dif,1.336198458
222,2018-03-27,SaudiPT_Dif,0.435571211
223,2018-03-27,TramsRail_FR_Dif,0.784873178
224,2018-03-27,Uestra_DE_Dif,-0.784166008
225,2018-03-28,HongKongPT_Dif,0.925606665
226,2018-03-28,JapanRail_Dif,1.488852282
227,2018-03-28,SaudiPT_Dif,0.488815197
228,2018-03-28,TramsRail_FR_Dif,0.763752751
229,2018-03-28,Uestra_DE_Dif,-0.764017892
230,2018-03-29,HongKongPT_Dif,1.136912358
231,2018-03-29,JapanRail_Dif,1.396679611
232,2018-03-29,SaudiPT_Dif,0.404298297
233,2018-03-29,TramsRail_FR_Dif,0.755528652
234,2018-03-29,Uestra_DE_Dif,-0.858292767
235,2018-03-04,HongKongPT_Dif,0.996926936
236,2018-03-04,JapanRail_Dif,1.347181335
237,2018-03-04,SaudiPT_Dif,0.476741939
238,2018-03-04,TramsRail_FR_Dif,0.777338711
239,2018-03-04,Uestra_DE_Dif,-0.653948472
240,2018-04-04,HongKongPT_Dif,1.298454186
241,2018-04-04,JapanRail_Dif,1.425830439
242,2018-04-04,SaudiPT_Dif,0.447220307
243,2018-04-04,TramsRail_FR_Dif,0.792166858
244,2018-04-04,Uestra_DE_Dif,-0.725060747
245,2018-09-04,HongKongPT_Dif,0.867406105
246,2018-09-04,JapanRail_Dif,1.529394169
247,2018-09-04,SaudiPT_Dif,0.377913598
248,2018-09-04,TramsRail_FR_Dif,0.617466793
249,2018-09-04,Uestra_DE_Dif,-0.887948349
250,2018-10-04,HongKongPT_Dif,0.958317178
251,2018-10-04,JapanRail_Dif,1.463061656
252,2018-10-04,SaudiPT_Dif,0.394881206
