,LOCATION,infrastructure spending (total),GDP,pop (mil),infra spending per capita,gdp per capita
0,AUT,2002000000.0,498798.089,8.916845,224.51887410849915,0.055938853821054416
1,CZE,1123320292.5668,446269.247,10.700155,104.98168415007072,0.04170680209772662
2,FIN,684000000.0,281715.886,5.529545,123.69914703651024,0.050947390065547896
3,FRA,10802457118.984,3176725.267,67.540257,159.94101294260696,0.04703454514542342
4,DEU,9615000000.0,4612209.032,83.160874,115.61927547803307,0.0554612861812876
5,GRC,49008544.42676,299210.114,10.698597,4.580838443279993,0.027967229160982512
6,HUN,717621881.80692,325338.312,9.750153,73.60108931694919,0.03336750838679147
7,IRL,101000000.0,465373.257,4.977443,20.29154326830061,0.09349645129035128
8,LUX,265778926.0,74940.114,0.630413,421.5949322111061,0.11887463297869809
9,MEX,398049883.13529,2414802.623,127.792286,3.1148193337373278,0.01889630977412831
10,NOR,1665485603.4611,336996.39,5.379472,309.60019932459915,0.06264488224866678
11,POL,625675189.05293,1305597.184,38.354173,16.313092946963813,0.03404055105033812
12,PRT,220000000.0,352682.763,10.2970805,21.365279216764403,0.03425075321106793
13,SVK,176800000.0,173650.119,5.458827,32.387910443031075,0.03181088519566566
14,ESP,2380557000.0,1781959.215,47.355685,50.26971946451624,0.037629256445134304
15,SWE,2080691450.3104,575972.37,10.353444,200.96611816419735,0.055630992933365944
16,CHE,3797066243.1094,609472.579,8.63817,439.56836264039714,0.07055575185484889
17,BGR,171285407.50588,170328.984,6.934015,24.70219742903354,0.024564265292186416
18,HRV,126154091.0538,116490.697,4.04768,31.167011980640766,0.028779621165704802
19,EST,32000000.0,51224.369,1.329479,24.069579135887064,0.03852965635410563
20,LVA,48520000.0,61418.788,1.900448,25.53082220613245,0.03231805763693613
21,LTU,174000000.0,109242.516,2.79489,62.2564752101156,0.039086517179566994
22,RUS,5305295681.7324,4367291.715,146.459803,36.223561503304765,0.029819046766026307
23,SVN,189000000.0,83701.76,2.100126,89.99460032398056,0.03985558961700393
24,CHN,90347449558.521,24313684.922,1439.323774,62.770761652493206,0.016892436129523698
25,NZL,137146265.06902,227831.574,5.0902,26.943197726812308,0.04475886487760795
