Entity,Code,Year,Productivity: output per hour worked
Argentina,ARG,1950,3.7276742621615666
Argentina,ARG,1951,3.7526675148173094
Argentina,ARG,1952,3.3652330902129624
Argentina,ARG,1953,3.522695113568727
Argentina,ARG,1954,3.623416433846192
Argentina,ARG,1955,3.820403308805232
Argentina,ARG,1956,3.8615585707173774
Argentina,ARG,1957,4.00183333708816
Argentina,ARG,1958,4.240541001173472
Argentina,ARG,1959,3.9342801569266213
Argentina,ARG,1960,4.165084841217572
Argentina,ARG,1961,4.2599933393756055
Argentina,ARG,1962,4.298306067951505
Argentina,ARG,1963,4.11092264433936
Argentina,ARG,1964,4.276100009088467
Argentina,ARG,1965,4.760530327953428
Argentina,ARG,1966,4.821607981650789
Argentina,ARG,1967,4.940946315243465
Argentina,ARG,1968,5.040368352929068
Argentina,ARG,1969,5.484745796033705
Argentina,ARG,1970,5.59499552640838
Argentina,ARG,1971,5.7174127028352
Argentina,ARG,1972,5.770798442831004
Argentina,ARG,1973,6.049992081678997
Argentina,ARG,1974,6.123540050667965
Argentina,ARG,1975,6.015602019539164
Argentina,ARG,1976,6.0292714469507365
Argentina,ARG,1977,6.277156096182194
Argentina,ARG,1978,6.141138136476595
Argentina,ARG,1979,6.432738152286328
Argentina,ARG,1980,6.459016516947513
Argentina,ARG,1981,6.541210443453989
Argentina,ARG,1982,6.803050686132201
Argentina,ARG,1983,7.2011807223840965
Argentina,ARG,1984,7.550111144571266
Argentina,ARG,1985,7.36953155016573
Argentina,ARG,1986,8.018710475383994
Argentina,ARG,1987,8.41693723553277
Argentina,ARG,1988,8.842619710553347
Argentina,ARG,1989,8.496986912742171
Argentina,ARG,1990,9.34559000497238
Argentina,ARG,1991,10.729359777850965
Argentina,ARG,1992,12.51847665431915
Argentina,ARG,1993,14.22911466112342
Argentina,ARG,1994,16.26436428572635
Argentina,ARG,1995,19.05748231739049
Argentina,ARG,1996,23.9366334939168
Argentina,ARG,1997,23.40699275620078
Argentina,ARG,1998,22.246105766003048
Argentina,ARG,1999,20.94368132598009
Argentina,ARG,2000,20.869157197675523
Argentina,ARG,2001,20.30079215184449
Argentina,ARG,2002,18.54462152443143
Argentina,ARG,2003,19.140048671108538
Argentina,ARG,2004,19.305756280621107
Argentina,ARG,2005,19.672618885181297
Argentina,ARG,2006,20.71333156971355
Argentina,ARG,2007,21.948976940846656
Argentina,ARG,2008,23.103423566538922
Argentina,ARG,2009,22.244689482711003
Argentina,ARG,2010,24.664721200798237
Argentina,ARG,2011,27.121875550657343
Argentina,ARG,2012,27.660812856060225
Argentina,ARG,2013,27.395716620266196
Argentina,ARG,2014,26.616256443642445
Argentina,ARG,2015,26.99777816259166
Argentina,ARG,2016,27.98418989444898
Argentina,ARG,2017,30.95546039420488
Argentina,ARG,2018,30.952592470613144
Argentina,ARG,2019,29.42588032840082
Australia,AUS,1950,15.32685286257587
Australia,AUS,1951,14.583223409165083
Australia,AUS,1952,14.244755055070677
Australia,AUS,1953,15.922847566072793
Australia,AUS,1954,16.903465582772395
Australia,AUS,1955,17.53685859852568
Australia,AUS,1956,17.582267222169943
Australia,AUS,1957,17.638389488601057
Australia,AUS,1958,19.05245142139822
Australia,AUS,1959,20.23595299722241
Australia,AUS,1960,20.122399665119453
Australia,AUS,1961,20.696010606947556
Australia,AUS,1962,21.35586665599237
Australia,AUS,1963,22.27925163653356
Australia,AUS,1964,22.61652552358925
Australia,AUS,1965,22.28722100185984
Australia,AUS,1966,23.03986466970778
Australia,AUS,1967,23.400545916152872
Australia,AUS,1968,24.619623028350905
Australia,AUS,1969,25.828990344034384
Australia,AUS,1970,25.910576678209054
Australia,AUS,1971,26.630285219811515
Australia,AUS,1972,27.42850020579343
Australia,AUS,1973,28.12806977201027
Australia,AUS,1974,26.41764893259931
Australia,AUS,1975,27.250248927707073
Australia,AUS,1976,27.906076193188355
Australia,AUS,1977,28.141001284482137
Australia,AUS,1978,29.353878793669804
Australia,AUS,1979,29.825206855034864
Australia,AUS,1980,30.04750306081509
Australia,AUS,1981,31.262637757883063
Australia,AUS,1982,31.00233080571831
Australia,AUS,1983,33.59127268223353
Australia,AUS,1984,33.34892575784548
Australia,AUS,1985,33.28966232192089
Australia,AUS,1986,32.70696978833293
Australia,AUS,1987,34.63339335796294
Australia,AUS,1988,35.419254478798
Australia,AUS,1989,34.992743578238084
Australia,AUS,1990,34.71742081399271
Australia,AUS,1991,35.75360400096256
Australia,AUS,1992,37.439992573500646
Australia,AUS,1993,38.27992636188488
Australia,AUS,1994,38.63740897736647
Australia,AUS,1995,39.189438481018335
Australia,AUS,1996,41.001758419795415
Australia,AUS,1997,42.77220031539579
Australia,AUS,1998,43.828731358169776
Australia,AUS,1999,45.23416217432452
Australia,AUS,2000,45.41545426440645
Australia,AUS,2001,47.16523877067425
Australia,AUS,2002,47.55952868785034
Australia,AUS,2003,48.6471962532794
Australia,AUS,2004,49.61219523336249
Australia,AUS,2005,51.53295352195778
Australia,AUS,2006,51.62211348143267
Australia,AUS,2007,51.45444081159912
Australia,AUS,2008,52.859438325708865
Australia,AUS,2009,53.12928473582919
Australia,AUS,2010,56.738532661049774
Australia,AUS,2011,58.7690683385656
Australia,AUS,2012,58.1720355544231
Australia,AUS,2013,60.4733808448645
Australia,AUS,2014,60.12287329157261
Australia,AUS,2015,56.053726034975476
Australia,AUS,2016,59.61971067658739
Australia,AUS,2017,60.341678599821684
Australia,AUS,2018,61.878533038916146
Australia,AUS,2019,61.438485340776495
