,LOCATION,Year,Rail Passenger KM (mil),GDP Growth Rate,Country,Population,Rail Passenger KM per capita
0,PRT,1971,3569.0,6.631652,Portugal,8643755.0,412.8992550112769
1,PRT,1972,3761.0,8.015696,Portugal,8630430.5,435.78359156011976
2,PRT,1973,4106.0,11.200671,Portugal,8633100.5,475.61128241238475
3,PRT,1974,4552.0,1.14286,Portugal,8754362.5,519.9693295771108
4,PRT,1975,4856.0,-4.347631,Portugal,9093471.0,534.0095107797672
5,PRT,1976,5235.0,6.900231,Portugal,9355812.0,559.5452324180948
6,PRT,1977,5235.0,5.602597,Portugal,9455672.5,553.6359259481544
7,PRT,1978,5514.0,2.815966,Portugal,9558247.5,576.8839946862644
8,PRT,1979,5635.0,5.638937,Portugal,9661264.5,583.2569846317737
9,PRT,1980,6076.0,4.58934,Portugal,9766275.0,622.1409902956859
10,PRT,1981,5856.0,1.618103,Portugal,9851325.0,594.4378040517392
11,PRT,1982,5414.0,2.135375,Portugal,9911770.5,546.2192652664829
12,PRT,1983,5195.0,-0.173113,Portugal,9957865.0,521.6981752614641
13,PRT,1984,5456.0,-1.87998,Portugal,9996232.0,545.8056595725269
14,PRT,1985,5725.0,2.80744,Portugal,10023613.0,571.1513403400551
15,PRT,1986,5803.0,4.140956,Portugal,10032733.5,578.4066725185115
16,PRT,1987,5907.0,6.381394,Portugal,10030030.5,588.9314095306091
17,PRT,1988,6036.0,7.489108,Portugal,10019610.0,602.4186570135963
18,PRT,1989,5908.0,6.440639,Portugal,10005000.0,590.5047476261869
19,PRT,1990,5664.0,3.950523,Portugal,9983218.0,567.3521303451453
20,PRT,1991,5688.0,4.368206,Portugal,9960235.0,571.0708632878642
21,PRT,1992,5694.0,1.089476,Portugal,9952493.5,572.1179320539119
22,PRT,1993,5397.0,-2.043277,Portugal,9964674.5,541.6132759780563
23,PRT,1994,5149.0,0.964838,Portugal,9991525.0,515.3367478938401
24,PRT,1995,4869.0,4.28278,Portugal,10026176.0,485.6288180059875
25,PRT,1996,4503.0,3.504247,Portugal,10063944.5,447.43887448902365
26,PRT,1997,4563.0,4.400867,Portugal,10108977.0,451.38098543502474
27,PRT,1998,4602.0,4.807963,Portugal,10160196.0,452.9440180091014
28,PRT,1999,4380.0,3.906577,Portugal,10217828.0,428.6625298448946
29,PRT,2000,3834.0,3.816178,Portugal,10289898.0,372.59844558225944
30,PRT,2001,3899.0,1.943672,Portugal,10362721.5,376.252512431218
31,PRT,2002,3926.0,0.770924,Portugal,10419630.5,376.7887930382944
32,PRT,2003,3585.0,-0.930521,Portugal,10458821.0,342.7728613005233
33,PRT,2004,3633.0,1.788736,Portugal,10483861.0,346.5326371648766
34,PRT,2005,3753.0,0.781848,Portugal,10503330.0,357.31525144882625
35,PRT,2006,3876.0,1.625034,Portugal,10522288.0,368.36094963376786
36,PRT,2007,3987.0,2.50658,Portugal,10542963.5,378.1669167307655
37,PRT,2008,4213.0,0.319248,Portugal,10558176.5,399.0272373264455
38,PRT,2009,4152.0,-3.12208,Portugal,10568246.5,392.8750147907697
39,PRT,2010,4111.0,1.737625,Portugal,10573100.0,388.81690327340135
40,PRT,2011,4143.0,-1.696165,Portugal,10557559.5,392.420236892816
41,PRT,2012,3803.0,-4.057294,Portugal,10514843.5,361.67918238630944
42,PRT,2013,3649.0,-0.922644,Portugal,10457295.0,348.94301059690866
43,PRT,2014,3852.0,0.79219,Portugal,10401061.5,370.3468150822875
44,PRT,2015,3957.0,1.792046,Portugal,10358076.0,382.0207536612012
45,PRT,2016,4146.0,2.019486,Portugal,10325451.5,401.5320782824848
46,PRT,2017,4391.0,3.506345,Portugal,10300300.0,426.29826315738376
47,PRT,2018,4487.0,2.849326,Portugal,10283822.0,436.3163812053534
48,PRT,2019,4964.014,2.68276,Portugal,10286263.0,482.5867275608255
49,PRT,2020,2552.0,-8.300516,Portugal,10297080.5,247.83723891446706
50,PRT,2021,2912.0,5.482392,Portugal,10297876.0,282.7767590132179
51,AUS,1970,12473.066624137,4.000933,Australia,12507349.0,997.2590214070942
52,AUS,1971,12674.783011064,3.910284,Australia,13067265.0,969.9644884422257
53,AUS,1972,11616.093760658,2.619376,Australia,13303664.0,873.1499653522518
54,AUS,1973,11474.354465217,4.106973,Australia,13504538.0,849.6665687650329
55,AUS,1974,10520.293577346,1.33631,Australia,13722571.0,766.6415846816168
56,AUS,1975,9996.1291856292,2.588771,Australia,13892995.0,719.5085858469826
57,AUS,1976,8927.7716456509,3.594833,Australia,14033083.0,636.1946014037613
58,AUS,1977,8874.9477932679,0.89315,Australia,14192234.0,625.338321878564
59,AUS,1978,8662.9471002671,4.050027,Australia,14359255.0,603.300596045345
60,AUS,1979,8503.0213416576,3.035589,Australia,14515729.0,585.7798352158269
61,AUS,1980,8815.4133857769,3.339495,Australia,14695356.0,599.8774977466962
62,AUS,1981,9113.1882187926,3.324852,Australia,14923260.0,610.6700693275196
63,AUS,1982,9087.7718099571,-2.224542,Australia,15184247.0,598.499998712949
64,AUS,1983,8931.8202093894,4.591739,Australia,15393472.0,580.2342843375036
65,AUS,1984,8846.2455406655,5.278244,Australia,15579391.0,567.8171592628686
66,AUS,1985,8834.0411994476,3.966274,Australia,15788312.0,559.5304424847698
67,AUS,1986,9231.3767030921,2.559258,Australia,16018350.0,576.3000997663368
68,AUS,1987,9511.7125834539,5.757341,Australia,16263874.0,584.8368342901513
69,AUS,1988,9984.7247488997,3.875426,Australia,16532164.0,603.9575187434446
70,AUS,1989,10215.876913181,3.576486,Australia,16814416.0,607.566561525598
71,AUS,1990,10031.622567036,-0.383072,Australia,17065128.0,587.8433825422229
72,AUS,1991,10057.13556419,0.42862,Australia,17284036.0,581.8742546121752
73,AUS,1992,9963.3775012095,4.047425,Australia,17478635.0,570.0317845878411
74,AUS,1993,9743.4133634613,3.980923,Australia,17634808.0,552.5103172918753
75,AUS,1994,9963.2268661599,3.887106,Australia,17805468.0,559.559954625169
76,AUS,1995,10344.505996047,3.856841,Australia,18004882.0,574.5389498274413
77,AUS,1996,10696.252435836,3.912835,Australia,18224767.0,586.9074998783798
78,AUS,1997,10976.875472385,4.613357,Australia,18423037.0,595.8233418510206
79,AUS,1998,10950.918994143,4.956325,Australia,18607584.0,588.5191217808288
80,AUS,1999,11164.803792244,3.901171,Australia,18812264.0,593.4853876303246
81,AUS,2000,11552.161964256,2.041417,Australia,19028802.0,607.0882425628266
82,AUS,2001,12149.624986664,3.99359,Australia,19274701.0,630.3405166525799
83,AUS,2002,12005.65718487,3.111398,Australia,19495210.0,615.8259995593789
84,AUS,2003,12021.773106727,4.216633,Australia,19720737.0,609.600599953592
85,AUS,2004,12087.046535813,3.153753,Australia,19932722.0,606.392169409326
