LOCATION,SUBJECT,TIME,Rail mil km,rail mil km per pop,rail km per capita,,,,LOCATION,Time,Value,Population,,Country,Year,GDP Growth Rate
AUS,RAIL,1970,12473.06662,0.000997259,997.2589417,,,,AUS,1970,12507.35,12507350,,Australia,1970,4.000933
AUS,RAIL,1971,12674.78301,0.000969965,969.9648596,,,,AUS,1971,13067.26,13067260,,Australia,1971,3.910284
AUS,RAIL,1972,11616.09376,0.00087315,873.1502279,,,,AUS,1972,13303.66,13303660,,Australia,1972,2.619376
AUS,RAIL,1973,11474.35447,0.000849666,849.6664429,,,,AUS,1973,13504.54,13504540,,Australia,1973,4.106973
AUS,RAIL,1974,10520.29358,0.000766642,766.6416405,,,,AUS,1974,13722.57,13722570,,Australia,1974,1.33631
AUS,RAIL,1975,9996.129186,0.000719508,719.5083269,,,,AUS,1975,13893,13893000,,Australia,1975,2.588771
AUS,RAIL,1976,8927.771646,0.000636195,636.1947374,,,,AUS,1976,14033.08,14033080,,Australia,1976,3.594833
AUS,RAIL,1977,8874.947793,0.000625338,625.3384981,,,,AUS,1977,14192.23,14192230,,Australia,1977,0.89315
AUS,RAIL,1978,8662.9471,0.000603301,603.3008061,,,,AUS,1978,14359.25,14359250,,Australia,1978,4.050027
AUS,RAIL,1979,8503.021342,0.00058578,585.7797949,,,,AUS,1979,14515.73,14515730,,Australia,1979,3.035589
AUS,RAIL,1980,8815.413386,0.000599877,599.8773345,,,,AUS,1980,14695.36,14695360,,Australia,1980,3.339495
AUS,RAIL,1981,9113.188219,0.00061067,610.6700693,,,,AUS,1981,14923.26,14923260,,Australia,1981,3.324852
AUS,RAIL,1982,9087.77181,0.0005985,598.4998805,,,,AUS,1982,15184.25,15184250,,Australia,1982,-2.224542
AUS,RAIL,1983,8931.820209,0.000580234,580.2343597,,,,AUS,1983,15393.47,15393470,,Australia,1983,4.591739
AUS,RAIL,1984,8846.245541,0.000567817,567.8171957,,,,AUS,1984,15579.39,15579390,,Australia,1984,5.278244
AUS,RAIL,1985,8834.041199,0.000559531,559.5305134,,,,AUS,1985,15788.31,15788310,,Australia,1985,3.966274
