,City/Measure,Set,Main or Comparison,Time Period,Percentage
24,Edinburgh GDP GR,2,Main,-6,-1.4
25,Edinburgh GDP GR,2,Main,-5,-2.7
26,Edinburgh GDP GR,2,Main,-4,0
27,Edinburgh GDP GR,2,Main,-3,-0.8
28,Edinburgh GDP GR,2,Main,-2,2.7
29,Edinburgh GDP GR,2,Main,-1,1
30,Edinburgh GDP GR,2,Main,0,-0.1
31,Edinburgh GDP GR,2,Main,1,3.5
32,Edinburgh GDP GR,2,Main,2,6.6
33,Edinburgh GDP GR,2,Main,3,3.9
34,Edinburgh GDP GR,2,Main,4,1.8
35,Edinburgh GDP GR,2,Main,5,0.9
36,Glasgow GDP GR,2,Comparison,-6,1.3
37,Glasgow GDP GR,2,Comparison,-5,-4.6
38,Glasgow GDP GR,2,Comparison,-4,-0.7
39,Glasgow GDP GR,2,Comparison,-3,3.6
40,Glasgow GDP GR,2,Comparison,-2,0.3
41,Glasgow GDP GR,2,Comparison,-1,2.9
42,Glasgow GDP GR,2,Comparison,0,1
43,Glasgow GDP GR,2,Comparison,1,1
44,Glasgow GDP GR,2,Comparison,2,1.4
45,Glasgow GDP GR,2,Comparison,3,3.5
46,Glasgow GDP GR,2,Comparison,4,1.3
47,Glasgow GDP GR,2,Comparison,5,3.3
