,City/Measure,Set,Main or Comparison,Time Period,Percentage
48,West Midlands Combined Authority GDP/capita GR,3,Main,-6,5.090953486
49,West Midlands Combined Authority GDP/capita GR,3,Main,-5,5.076672862
50,West Midlands Combined Authority GDP/capita GR,3,Main,-4,6.677722499
51,West Midlands Combined Authority GDP/capita GR,3,Main,-3,3.793139185
52,West Midlands Combined Authority GDP/capita GR,3,Main,0,3.016899921
53,West Midlands Combined Authority GDP/capita GR,3,Main,1,2.883691125
54,West Midlands Combined Authority GDP/capita GR,3,Main,2,4.316412333
55,West Midlands Combined Authority GDP/capita GR,3,Main,3,3.200382135
56,West Midlands Combined Authority GDP/capita GR,3,Main,4,4.582272622
57,West Midlands Combined Authority GDP/capita GR,3,Main,5,4.304049568
58,West Midlands Combined Authority GDP/capita GR,3,Main,6,4.094621831
59,West Yorkshire Combined Authority GDP/capita GR,3,Comparison,-6,5.636272545
60,West Yorkshire Combined Authority GDP/capita GR,3,Comparison,-5,3.545174295
61,West Yorkshire Combined Authority GDP/capita GR,3,Comparison,-4,4.958204512
62,West Yorkshire Combined Authority GDP/capita GR,3,Comparison,-3,4.571241545
63,West Yorkshire Combined Authority GDP/capita GR,3,Comparison,0,1.659886086
64,West Yorkshire Combined Authority GDP/capita GR,3,Comparison,1,4.202016968
65,West Yorkshire Combined Authority GDP/capita GR,3,Comparison,2,5.814578693
66,West Yorkshire Combined Authority GDP/capita GR,3,Comparison,3,5.945121951
67,West Yorkshire Combined Authority GDP/capita GR,3,Comparison,4,6.303528606
68,West Yorkshire Combined Authority GDP/capita GR,3,Comparison,5,5.414115372
69,West Yorkshire Combined Authority GDP/capita GR,3,Comparison,6,3.032711709
