,City/Measure,Time Period,Percentage
48,3.1 West Midlands Combined Authority GDP/capita GR,-6,5.090953486
49,3.1 West Midlands Combined Authority GDP/capita GR,-5,5.076672862
50,3.1 West Midlands Combined Authority GDP/capita GR,-4,6.677722499
51,3.1 West Midlands Combined Authority GDP/capita GR,-3,3.793139185
52,3.1 West Midlands Combined Authority GDP/capita GR,0,3.016899921
53,3.1 West Midlands Combined Authority GDP/capita GR,1,2.883691125
54,3.1 West Midlands Combined Authority GDP/capita GR,2,4.316412333
55,3.1 West Midlands Combined Authority GDP/capita GR,3,3.200382135
56,3.1 West Midlands Combined Authority GDP/capita GR,4,4.582272622
57,3.1 West Midlands Combined Authority GDP/capita GR,5,4.304049568
58,3.1 West Midlands Combined Authority GDP/capita GR,6,4.094621831
59,3.2 West Yorkshire Combined Authority GDP/capita GR,-6,5.636272545
60,3.2 West Yorkshire Combined Authority GDP/capita GR,-5,3.545174295
61,3.2 West Yorkshire Combined Authority GDP/capita GR,-4,4.958204512
62,3.2 West Yorkshire Combined Authority GDP/capita GR,-3,4.571241545
63,3.2 West Yorkshire Combined Authority GDP/capita GR,0,1.659886086
64,3.2 West Yorkshire Combined Authority GDP/capita GR,1,4.202016968
65,3.2 West Yorkshire Combined Authority GDP/capita GR,2,5.814578693
66,3.2 West Yorkshire Combined Authority GDP/capita GR,3,5.945121951
67,3.2 West Yorkshire Combined Authority GDP/capita GR,4,6.303528606
68,3.2 West Yorkshire Combined Authority GDP/capita GR,5,5.414115372
69,3.2 West Yorkshire Combined Authority GDP/capita GR,6,3.032711709
70,4.1 West Midlands Combined Authority GDP GR,-6,5.33462882
71,4.1 West Midlands Combined Authority GDP GR,-5,5.17866163
72,4.1 West Midlands Combined Authority GDP GR,-4,6.909440187
73,4.1 West Midlands Combined Authority GDP GR,-3,3.994140625
74,4.1 West Midlands Combined Authority GDP GR,0,2.949807986
75,4.1 West Midlands Combined Authority GDP GR,1,1.946571103
76,4.1 West Midlands Combined Authority GDP GR,2,3.275545258
77,4.1 West Midlands Combined Authority GDP GR,3,0.536860834
78,4.1 West Midlands Combined Authority GDP GR,4,2.042103967
79,4.1 West Midlands Combined Authority GDP GR,5,1.895670271
80,4.1 West Midlands Combined Authority GDP GR,6,1.061184619
81,4.2 West Yorkshire Combined Authority GDP GR,-6,5.884267722
82,4.2 West Yorkshire Combined Authority GDP GR,-5,3.795492705
83,4.2 West Yorkshire Combined Authority GDP GR,-4,5.028251162
84,4.2 West Yorkshire Combined Authority GDP GR,-3,4.700752728
85,4.2 West Yorkshire Combined Authority GDP GR,0,5.394006659
86,4.2 West Yorkshire Combined Authority GDP GR,1,1.893428812
87,4.2 West Yorkshire Combined Authority GDP GR,2,2.193100312
88,4.2 West Yorkshire Combined Authority GDP GR,3,1.818365696
89,4.2 West Yorkshire Combined Authority GDP GR,4,4.529291404
90,4.2 West Yorkshire Combined Authority GDP GR,5,3.183260799
91,4.2 West Yorkshire Combined Authority GDP GR,6,2.473569824
