,City/Measure,Set,Main or Comparison,Time Period,Percentage
0,Edinburgh GDP/capita GR,1,Main,-6,-1.4
1,Edinburgh GDP/capita GR,1,Main,-5,-4.0
2,Edinburgh GDP/capita GR,1,Main,-4,0.7
3,Edinburgh GDP/capita GR,1,Main,-3,-0.1
4,Edinburgh GDP/capita GR,1,Main,-2,0.4
5,Edinburgh GDP/capita GR,1,Main,-1,0.7
6,Edinburgh GDP/capita GR,1,Main,0,0.9
7,Edinburgh GDP/capita GR,1,Main,1,2.4
8,Edinburgh GDP/capita GR,1,Main,2,3.1
9,Edinburgh GDP/capita GR,1,Main,3,2.2
10,Edinburgh GDP/capita GR,1,Main,4,1.0
11,Edinburgh GDP/capita GR,1,Main,5,0.4
12,Cambridge GDP/capita GR,1,Comparison,-6,-0.5
13,Cambridge GDP/capita GR,1,Comparison,-5,-2.0
14,Cambridge GDP/capita GR,1,Comparison,-4,-1.8
15,Cambridge GDP/capita GR,1,Comparison,-3,1.4
16,Cambridge GDP/capita GR,1,Comparison,-2,2.4
17,Cambridge GDP/capita GR,1,Comparison,-1,4.6
18,Cambridge GDP/capita GR,1,Comparison,0,1.0
19,Cambridge GDP/capita GR,1,Comparison,1,2.4
20,Cambridge GDP/capita GR,1,Comparison,2,0.7
21,Cambridge GDP/capita GR,1,Comparison,3,3.5
22,Cambridge GDP/capita GR,1,Comparison,4,-1.0
23,Cambridge GDP/capita GR,1,Comparison,5,4.4
24,Edinburgh GDP GR,2,Main,-6,-1.4
25,Edinburgh GDP GR,2,Main,-5,-2.7
26,Edinburgh GDP GR,2,Main,-4,0.0
27,Edinburgh GDP GR,2,Main,-3,-0.8
28,Edinburgh GDP GR,2,Main,-2,2.7
29,Edinburgh GDP GR,2,Main,-1,1.0
30,Edinburgh GDP GR,2,Main,0,-0.1
31,Edinburgh GDP GR,2,Main,1,3.5
32,Edinburgh GDP GR,2,Main,2,6.6
33,Edinburgh GDP GR,2,Main,3,3.9
34,Edinburgh GDP GR,2,Main,4,1.8
35,Edinburgh GDP GR,2,Main,5,0.9
