,Area,Year_measure,Percentage
0,City of Edinburgh,-7,6.298978544
1,City of Edinburgh,-6,-0.902458245
2,City of Edinburgh,-5,1.1056385
3,City of Edinburgh,-4,-2.237840306
4,City of Edinburgh,-3,0.599517272
5,City of Edinburgh,-2,3.954904288
6,City of Edinburgh,-1,4.494354138
7,City of Edinburgh,0,2.63145395
8,City of Edinburgh,1,1.339843569
9,City of Edinburgh,2,7.453245953
10,City of Edinburgh,3,4.114159424
11,City of Edinburgh,4,3.43314351
12,City of Edinburgh,5,1.772076961
13,City of Edinburgh,6,-5.535842398
14,manc/north east,-7,13.2780083
15,manc/north east,-6,14.56043956
16,manc/north east,-5,27.17825739
17,manc/north east,-4,19.67316153
18,manc/north east,-3,13.97058824
19,manc/north east,-2,17.09677419
20,manc/north east,-1,11.72766627
21,manc/north east,0,15.49841493
22,manc/north east,1,5.062519061
23,manc/north east,2,10.30478955
24,manc/north east,3,7.342105263
25,manc/north east,4,5.957342486
26,manc/north east,5,9.810273022
27,manc/north east,6,10.70375053
28,manc/north east,7,7.670346403
29,manc/north east,8,11.87908786
30,manc/north east,9,9.811976616
31,sheff+roth/yorkshire,-7,7.670346403
32,sheff+roth/yorkshire,-6,11.87908786
33,sheff+roth/yorkshire,-5,9.811976616
34,sheff+roth/yorkshire,-4,7.237410072
35,sheff+roth/yorkshire,-3,2.844492151
36,sheff+roth/yorkshire,-2,3.209393346
37,sheff+roth/yorkshire,-1,6.118063456
38,sheff+roth/yorkshire,0,4.967242406
39,sheff+roth/yorkshire,1,5.027235588
40,sheff+roth/yorkshire,2,5.186385737
41,sheff+roth/yorkshire,5,5.056932351
42,sheff+roth/yorkshire,6,2.856232069
43,sheff+roth/yorkshire,7,5.380276452
44,sheff+roth/yorkshire,8,4.640903476
45,sheff+roth/yorkshire,9,4.13153457
46,new uT +sund/north east,-7,16.0045403
47,new uT +sund/north east,-6,16.43835616
48,new uT +sund/north east,-5,31.68067227
49,new uT +sund/north east,-4,19.01723038
50,new uT +sund/north east,-3,15.01340483
51,new uT +sund/north east,-2,12.49417249
52,new uT +sund/north east,-1,13.26150021
53,new uT +sund/north east,0,16.64837175
54,new uT +sund/north east,1,7.308657465
55,new uT +sund/north east,2,8.973984215
56,new uT +sund/north east,3,7.698497854
57,new uT +sund/north east,4,4.084682441
58,new uT +sund/north east,5,9.739172051
59,new uT +sund/north east,6,6.91234191
60,new uT +sund/north east,7,11.72751377
61,new uT +sund/north east,8,10.31398321
62,new uT +sund/north east,9,12.51034255
63,brum+wolf/west mids,-7,4.237719522
64,brum+wolf/west mids,-6,5.090953486
65,brum+wolf/west mids,-5,5.076672862
66,brum+wolf/west mids,-4,6.677722499
67,brum+wolf/west mids,-3,3.793139185
68,brum+wolf/west mids,0,3.016899921
69,brum+wolf/west mids,1,2.883691125
70,brum+wolf/west mids,2,4.316412333
71,brum+wolf/west mids,3,3.200382135
72,brum+wolf/west mids,4,4.582272622
73,brum+wolf/west mids,5,4.304049568
74,brum+wolf/west mids,6,4.094621831
75,brum+wolf/west mids,7,2.379496586
76,brum+wolf/west mids,8,3.777434928
77,brum+wolf/west mids,9,0.244580856
78,croydon,-1,4.904381784
79,croydon,0,4.467071769
80,croydon,1,2.897867212
81,croydon,2,2.994499898
82,croydon,3,6.996637658
83,croydon,4,3.974305652
84,croydon,5,5.213565047
85,croydon,6,3.189422102
86,croydon,7,7.479428501
87,croydon,8,-2.612935172
88,croydon,9,-6.406445557
