,Country,Year,level_2,0
0,AUS,1968,Champion,Rod Laver
1,AUS,1969,Champion,Rod Laver
2,AUS,1970,Champion,John Newcombe
3,AUS,1971,Champion,John Newcombe
4,USA,1972,Champion,Stan Smith
5,TCH,1973,Champion,Jan Kodeš
6,USA,1974,Champion,Jimmy Connors
7,USA,1975,Champion,Arthur Ashe
8,SWE,1976,Champion,Björn Borg
9,SWE,1977,Champion,Björn Borg
10,SWE,1978,Champion,Björn Borg
11,SWE,1979,Champion,Björn Borg
12,SWE,1980,Champion,Björn Borg
13,USA,1981,Champion,John McEnroe
14,USA,1982,Champion,Jimmy Connors
15,USA,1983,Champion,John McEnroe
16,USA,1984,Champion,John McEnroe
17,FRG,1985,Champion,Boris Becker
18,FRG,1986,Champion,Boris Becker
19,AUS,1987,Champion,Pat Cash
20,SWE,1988,Champion,Stefan Edberg
21,FRG,1989,Champion,Boris Becker
22,SWE,1990,Champion,Stefan Edberg
23,GER,1991,Champion,Michael Stich
24,USA,1992,Champion,Andre Agassi
25,USA,1993,Champion,Pete Sampras
26,USA,1994,Champion,Pete Sampras
27,USA,1995,Champion,Pete Sampras
28,NED,1996,Champion,Richard Krajicek
29,USA,1997,Champion,Pete Sampras
30,USA,1998,Champion,Pete Sampras
31,USA,1999,Champion,Pete Sampras
32,USA,2000,Champion,Pete Sampras
33,CRO,2001,Champion,Goran Ivanišević
34,AUS,2002,Champion,Lleyton Hewitt
35,SUI,2003,Champion,Roger Federer
36,SUI,2004,Champion,Roger Federer
37,SUI,2005,Champion,Roger Federer
38,SUI,2006,Champion,Roger Federer
39,SUI,2007,Champion,Roger Federer
40,ESP,2008,Champion,Rafael Nadal
41,SUI,2009,Champion,Roger Federer
42,ESP,2010,Champion,Rafael Nadal
43,SRB,2011,Champion,Novak Djokovic
44,SUI,2012,Champion,Roger Federer
45,GBR,2013,Champion,Andy Murray
46,SRB,2014,Champion,Novak Djokovic
47,SRB,2015,Champion,Novak Djokovic
48,GBR,2016,Champion,Andy Murray
49,SUI,2017,Champion,Roger Federer
50,SRB,2018,Champion,Novak Djokovic
51,SRB,2019,Champion,Novak Djokovic
52,No competition (due to COVID-19 pandemic)[6],2020,Champion,No competition (due to COVID-19 pandemic)[6]
53,SRB,2021,Champion,Novak Djokovic
54,SRB,2022,Champion,Novak Djokovic
