,Year,Country,Champion
0,1968,AUS,Rod Laver
1,1969,AUS,Rod Laver
2,1970,AUS,John Newcombe
3,1971,AUS,John Newcombe
4,1972,USA,Stan Smith
5,1973,TCH,Jan Kodeš
6,1974,USA,Jimmy Connors
7,1975,USA,Arthur Ashe
8,1976,SWE,Björn Borg
9,1977,SWE,Björn Borg
10,1978,SWE,Björn Borg
11,1979,SWE,Björn Borg
12,1980,SWE,Björn Borg
13,1981,USA,John McEnroe
14,1982,USA,Jimmy Connors
15,1983,USA,John McEnroe
16,1984,USA,John McEnroe
17,1985,FRG,Boris Becker
18,1986,FRG,Boris Becker
19,1987,AUS,Pat Cash
20,1988,SWE,Stefan Edberg
21,1989,FRG,Boris Becker
22,1990,SWE,Stefan Edberg
23,1991,GER,Michael Stich
24,1992,USA,Andre Agassi
25,1993,USA,Pete Sampras
26,1994,USA,Pete Sampras
27,1995,USA,Pete Sampras
28,1996,NED,Richard Krajicek
29,1997,USA,Pete Sampras
30,1998,USA,Pete Sampras
31,1999,USA,Pete Sampras
32,2000,USA,Pete Sampras
33,2001,CRO,Goran Ivanišević
34,2002,AUS,Lleyton Hewitt
35,2003,SUI,Roger Federer
36,2004,SUI,Roger Federer
37,2005,SUI,Roger Federer
38,2006,SUI,Roger Federer
39,2007,SUI,Roger Federer
40,2008,ESP,Rafael Nadal
41,2009,SUI,Roger Federer
42,2010,ESP,Rafael Nadal
43,2011,SRB,Novak Djokovic
44,2012,SUI,Roger Federer
45,2013,GBR,Andy Murray
46,2014,SRB,Novak Djokovic
47,2015,SRB,Novak Djokovic
48,2016,GBR,Andy Murray
49,2017,SUI,Roger Federer
50,2018,SRB,Novak Djokovic
51,2019,SRB,Novak Djokovic
52,2020,No competition (due to COVID-19 pandemic)[6],No competition (due to COVID-19 pandemic)[6]
53,2021,SRB,Novak Djokovic
54,2022,SRB,Novak Djokovic
