Date,GRA Purchases,PRGT 1/2/,Totals,Year,Total_billion,"World GDP, Current Prices",,,Total Lending/World GDP,,,Percent of World GDP as Lending
08/31/2022,93769635059,15254184552,1.09E+11,2022,109.0238196,103867.109,,,0.001049647,,,0.1049647
12/31/2021,89474552025,14554823681,1.04E+11,2021,104.0293757,96292.574,,,0.001080347,,,0.1080347
12/31/2020,93408630285,12481816684,1.06E+11,2020,105.890447,85238.623,,,0.001242282,,,0.1242282
12/31/2019,66945509865,6590835450,73536345315,2019,73.53634532,87536.338,,,0.000840067,,,0.0840067
12/31/2018,55395611392,6426181029,61821792421,2018,61.82179242,86084.955,,,0.000718149,,,0.0718149
12/31/2017,39585385873,6522280669,46107666542,2017,46.10766654,80945.405,,,0.000569614,,,0.0569614
12/31/2016,49267630851,6482647937,55750278788,2016,55.75027879,76267.375,,,0.000730985,,,0.0730985
12/31/2015,50757840741,6575911158,57333751899,2015,57.3337519,75042.63,,,0.000764016,,,0.0764016
12/31/2014,69041563463,6292755583,75334319046,2014,75.33431905,79321.72,,,0.000949731,,,0.0949731
12/31/2013,83899249061,6174392682,90073641743,2013,90.07364174,77290.82,,,0.001165386,,,0.1165386
12/31/2012,90042348252,5766292503,95808640755,2012,95.80864076,75116.959,,,0.00127546,,,0.127546
12/31/2011,87276915790,5308609594,92585525384,2011,92.58552538,73747.749,,,0.001255435,,,0.1255435
12/31/2010,55620104510,4819344134,60439448644,2010,60.43944864,66435.818,,,0.000909742,,,0.0909742
12/31/2009,37221142436,5079705286,42300847722,2009,42.30084772,60731.151,,,0.000696526,,,0.0696526
12/31/2008,17514964723,3972372030,21487336753,2008,21.48733675,64108.44,,,0.000335172,,,0.0335172
12/31/2007,6036146757,3796945581,9833092338,2007,9.833092338,58443.072,,,0.000168251,,,0.0168251
12/31/2006,9822640239,3844020520,13666660759,2006,13.66666076,51762.962,,,0.000264024,,,0.0264024
12/31/2005,28432143237,6282121668,34714264905,2005,34.71426491,47792.249,,,0.000726358,,,0.0726358
12/31/2004,55373766674,6766029353,62139796027,2004,62.13979603,44116.922,,,0.001408525,,,0.1408525
12/31/2003,65032062712,6880893268,71912955980,2003,71.91295598,39193.343,,,0.001834826,,,0.1834826
12/31/2002,63601058794,6868671012,70469729806,2002,70.46972981,34900.086,,,0.002019185,,,0.2019185
12/31/2001,53477225409,6424578684,59901804093,2001,59.90180409,33788.307,,,0.001772856,,,0.1772856
12/31/2000,42990531049,6331595468,49322126517,2000,49.32212652,34039.874,,,0.001448952,,,0.1448952
12/31/1999,51061861875,6434274362,57496136237,1999,57.49613624,32949.687,,,0.001744968,,,0.1744968
12/31/1998,60451017051,6288825925,66739842976,1998,66.73984298,31824.477,,,0.002097123,,,0.2097123
12/31/1997,46559033783,6009867422,52568901205,1997,52.56890121,31979.647,,,0.001643824,,,0.1643824
12/31/1996,36127472805,5881609752,42009082557,1996,42.00908256,32068.872,,,0.001309964,,,0.1309964
12/31/1995,35929173412,5657438528,41586611940,1995,41.58661194,31199.71,,,0.001332917,,,0.1332917
12/31/1994,25611676952,4599768498,30211445450,1994,30.21144545,27985.29,,,0.001079547,,,0.1079547
12/31/1993,25196745031,3942792899,29139537930,1993,29.13953793,26039.542,,,0.00111905,,,0.111905
12/31/1992,23967172718,3804463796,27771636514,1992,27.77163651,25328.261,,,0.001096468,,,0.1096468
12/31/1991,23378573926,3285717796,26664291722,1991,26.66429172,24492.481,,,0.001088673,,,0.1088673
12/31/1990,20731851093,2571911617,23303762710,1990,23.30376271,23654.018,,,0.000985193,,,0.0985193
12/31/1989,22315104224,2334886562,24649990786,1989,24.64999079,20122.142,,,0.001225018,,,0.1225018
12/31/1988,24750004884,1773964293,26523969177,1988,26.52396918,19125.335,,,0.00138685,,,0.138685
12/31/1987,28751979125,1866342930,30618322055,1987,30.61832206,17008.945,,,0.001800131,,,0.1800131
12/31/1986,33334905644,2013169931,35348075575,1986,35.34807558,14771.979,,,0.002392914,,,0.2392914
12/31/1985,35194787249,2470247948,37665035197,1985,37.6650352,12523.328,,,0.00300759,,,0.300759
12/31/1984,34936772393,2769874900,37706647293,1984,37.70664729,11997.41,,,0.003142899,,,0.3142899
,,,,,,,,,,,,
,,,,,,,,,,,,
, 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,,,,,,,
,,,,,,,,,,,,
, 2/ Formerly PRGF-ESF.,,,,,,,,,,,
