REGC2020_V1_00,REGC2020_V1_00_NAME,REGC2020_V1_00_NAME_ASCII,LAND_AREA_SQ_KM,AREA_SQ_KM
1,Northland Region,Northland Region,12504.24655,30084.27324
2,Auckland Region,Auckland Region,4941.072252,16156.20629
3,Waikato Region,Waikato Region,23900.36402,34888.83141
4,Bay of Plenty Region,Bay of Plenty Region,12071.80913,21883.74848
5,Gisborne Region,Gisborne Region,8385.326465,13989.05064
6,Hawke's Bay Region,Hawke's Bay Region,14138.01134,21444.1664
7,Taranaki Region,Taranaki Region,7254.469323,12696.95521
8,Manawatū-Whanganui Region,Manawatu-Whanganui Region,22220.58394,25322.13735
9,Wellington Region,Wellington Region,8048.599793,15945.35025
12,West Coast Region,West Coast Region,23245.2364,36339.58415
13,Canterbury Region,Canterbury Region,44504.27763,56773.92121
14,Otago Region,Otago Region,31186.33373,38514.37581
15,Southland Region,Southland Region,31196.12009,55237.97978
16,Tasman Region,Tasman Region,9616.127595,14800.25636
17,Nelson Region,Nelson Region,422.193659,1234.786157
18,Marlborough Region,Marlborough Region,10457.82327,17688.80481
99,Area Outside Region,Area Outside Region,798.654533,15759.50011
